2019-05-19 18:18:36
sign_sgd_majority_one-point_log-reg_var-step_20_20,0_1
it: 0, loss: 33714.65929296417, stepsize: 20.0
it: 1, loss: 19615.020713566915, stepsize: 20.0
it: 2, loss: 12206.015854780067, stepsize: 14.14213562373095
it: 3, loss: 7636.12707560005, stepsize: 11.547005383792516
it: 4, loss: 4614.4336896395935, stepsize: 10.0
it: 5, loss: 2716.521010104016, stepsize: 8.94427190999916
it: 6, loss: 1456.3149348335241, stepsize: 8.16496580927726
it: 7, loss: 728.6113607818166, stepsize: 7.559289460184544
it: 8, loss: 389.9238366586562, stepsize: 7.071067811865475
it: 9, loss: 113.09840409448053, stepsize: 6.666666666666667
it: 10, loss: 113.06712685873882, stepsize: 6.324555320336758
it: 11, loss: 88.3217567875967, stepsize: 6.030226891555272
it: 12, loss: 99.87897038387355, stepsize: 5.773502691896258
it: 13, loss: 79.73976312248466, stepsize: 5.547001962252292
it: 14, loss: 91.46957264545765, stepsize: 5.3452248382484875
it: 15, loss: 69.56380427534069, stepsize: 5.163977794943222
it: 16, loss: 79.8663545210762, stepsize: 5.0
it: 17, loss: 63.201243154268425, stepsize: 4.85071250072666
it: 18, loss: 76.59653016882892, stepsize: 4.714045207910317
it: 19, loss: 61.59500150071249, stepsize: 4.588314677411235
it: 20, loss: 70.13862529983736, stepsize: 4.47213595499958
it: 21, loss: 53.147666729979186, stepsize: 4.364357804719848
it: 22, loss: 64.01823422313987, stepsize: 4.264014327112209
it: 23, loss: 51.125925962294616, stepsize: 4.170288281141495
it: 24, loss: 64.85468396917626, stepsize: 4.08248290463863
it: 25, loss: 49.124072989501066, stepsize: 4.0
it: 26, loss: 59.60802033104735, stepsize: 3.922322702763681
it: 27, loss: 44.85449780757531, stepsize: 3.849001794597505
it: 28, loss: 54.82816335574868, stepsize: 3.779644730092272
it: 29, loss: 41.45335716591731, stepsize: 3.7139067635410377
it: 30, loss: 56.23416186996134, stepsize: 3.6514837167011076
it: 31, loss: 40.336584868279175, stepsize: 3.5921060405354983
it: 32, loss: 49.58263563247408, stepsize: 3.5355339059327373
it: 33, loss: 36.03518558557387, stepsize: 3.481553119113957
it: 34, loss: 45.94374555748819, stepsize: 3.4299717028501764
it: 35, loss: 36.70206183537677, stepsize: 3.3806170189140663
it: 36, loss: 47.64792125623847, stepsize: 3.3333333333333335
it: 37, loss: 35.47163813333874, stepsize: 3.287979746107146
it: 38, loss: 42.86248343832584, stepsize: 3.244428422615251
it: 39, loss: 32.976583124465485, stepsize: 3.2025630761017427
it: 40, loss: 37.33517346327157, stepsize: 3.162277660168379
it: 41, loss: 31.593501414574735, stepsize: 3.1234752377721215
it: 42, loss: 38.540651853706535, stepsize: 3.086066999241838
it: 43, loss: 28.461451877354087, stepsize: 3.0499714066520935
it: 44, loss: 36.97090394667031, stepsize: 3.015113445777636
it: 45, loss: 28.364634408726086, stepsize: 2.9814239699997196
it: 46, loss: 33.26292954118434, stepsize: 2.9488391230979425
it: 47, loss: 26.293522287430985, stepsize: 2.917299829957891
it: 48, loss: 33.8966426431286, stepsize: 2.886751345948129
it: 49, loss: 25.468573347117765, stepsize: 2.857142857142857
it: 50, loss: 30.8002248297099, stepsize: 2.82842712474619
it: 51, loss: 24.390666248635714, stepsize: 2.8005601680560193
it: 52, loss: 30.30966137740799, stepsize: 2.773500981126146
it: 53, loss: 24.7487080695926, stepsize: 2.7472112789737806
it: 54, loss: 32.44266664907619, stepsize: 2.721655269759087
it: 55, loss: 23.184100500618488, stepsize: 2.696799449852968
it: 56, loss: 31.898987041126638, stepsize: 2.6726124191242437
it: 57, loss: 23.78258018535736, stepsize: 2.6490647141300876
it: 58, loss: 29.413151432900566, stepsize: 2.626128657194451
it: 59, loss: 22.555239848815603, stepsize: 2.6037782196164776
it: 60, loss: 28.040135134859717, stepsize: 2.581988897471611
it: 61, loss: 21.56076023734462, stepsize: 2.5607375986579197
it: 62, loss: 26.334791822922828, stepsize: 2.54000254000381
it: 63, loss: 21.67677898880023, stepsize: 2.519763153394848
it: 64, loss: 26.19873646810643, stepsize: 2.5
it: 65, loss: 21.04891730403563, stepsize: 2.4806946917841692
it: 66, loss: 26.518349672175034, stepsize: 2.4618298195866544
it: 67, loss: 21.303417911836288, stepsize: 2.4433888871261042
it: 68, loss: 23.750004293356692, stepsize: 2.42535625036333
it: 69, loss: 20.025555533027916, stepsize: 2.407717061715384
it: 70, loss: 25.519534915649523, stepsize: 2.390457218668787
it: 71, loss: 18.242332487818498, stepsize: 2.3735633163877066
it: 72, loss: 24.476866158079332, stepsize: 2.3570226039551585
it: 73, loss: 18.607075933666074, stepsize: 2.3408229439226114
it: 74, loss: 21.316231729925295, stepsize: 2.324952774876386
it: 75, loss: 19.75977767168685, stepsize: 2.309401076758503
it: 76, loss: 23.46404743979484, stepsize: 2.2941573387056176
it: 77, loss: 18.06652241755813, stepsize: 2.279211529192759
it: 78, loss: 21.031517367963907, stepsize: 2.264554068289191
it: 79, loss: 16.789801888966647, stepsize: 2.250175801852048
it: 80, loss: 20.77918579145051, stepsize: 2.23606797749979
it: 81, loss: 16.932450042177134, stepsize: 2.2222222222222223
it: 82, loss: 19.84946081262083, stepsize: 2.208630521496931
it: 83, loss: 15.265910913805703, stepsize: 2.195285199793807
it: 84, loss: 20.326796497961467, stepsize: 2.182178902359924
it: 85, loss: 15.129037630743069, stepsize: 2.1693045781865616
it: 86, loss: 18.85502341010398, stepsize: 2.156655464068768
it: 87, loss: 15.62629733577209, stepsize: 2.1442250696755893
it: 88, loss: 21.20867885354194, stepsize: 2.1320071635561044
it: 89, loss: 17.038236520779208, stepsize: 2.11999576001272
it: 90, loss: 19.835664457179302, stepsize: 2.1081851067789197
it: 91, loss: 16.12251670065972, stepsize: 2.096569673443837
it: 92, loss: 18.543638788828353, stepsize: 2.0851441405707476
it: 93, loss: 14.56308780682384, stepsize: 2.0739033894608507
it: 94, loss: 19.62385886168172, stepsize: 2.0628424925175866
it: 95, loss: 14.334341749071438, stepsize: 2.0519567041703084
it: 96, loss: 18.50838773666436, stepsize: 2.041241452319315
it: 97, loss: 14.268526430115958, stepsize: 2.030692330267238
it: 98, loss: 18.191752694773623, stepsize: 2.0203050891044216
it: 99, loss: 14.050932296208195, stepsize: 2.010075630518424
it: 100, loss: 18.47161311118331, stepsize: 2.0
it: 101, loss: 13.88901207594187, stepsize: 1.9900743804199783
it: 102, loss: 16.986357592778077, stepsize: 1.9802950859533488
it: 103, loss: 14.23192885014346, stepsize: 1.9706585563285863
it: 104, loss: 17.333015069456202, stepsize: 1.9611613513818404
it: 105, loss: 14.258617899328037, stepsize: 1.9518001458970664
it: 106, loss: 17.225602292247913, stepsize: 1.9425717247145282
it: 107, loss: 13.935079510926542, stepsize: 1.9334729780913271
it: 108, loss: 16.915566775883974, stepsize: 1.9245008972987525
it: 109, loss: 13.969411157871857, stepsize: 1.9156525704423026
it: 110, loss: 15.918509297943121, stepsize: 1.9069251784911847
it: 111, loss: 11.53796829748771, stepsize: 1.898315991504998
it: 112, loss: 16.567641389772998, stepsize: 1.889822365046136
it: 113, loss: 12.567264672366795, stepsize: 1.8814417367671945
it: 114, loss: 16.29848370273281, stepsize: 1.873171623163388
it: 115, loss: 12.192412182393774, stepsize: 1.8650096164806276
it: 116, loss: 16.06980698955522, stepsize: 1.8569533817705188
it: 117, loss: 11.40576189390956, stepsize: 1.8490006540840969
it: 118, loss: 15.430692533278197, stepsize: 1.8411492357966468
it: 119, loss: 10.953697704949256, stepsize: 1.8333969940564228
it: 120, loss: 15.221045471510267, stepsize: 1.8257418583505538
it: 121, loss: 12.159135659688292, stepsize: 1.8181818181818181
it: 122, loss: 14.688123051270756, stepsize: 1.8107149208503706
it: 123, loss: 11.249582543478146, stepsize: 1.8033392693348644
it: 124, loss: 14.695733547567587, stepsize: 1.7960530202677492
it: 125, loss: 11.578209463396627, stepsize: 1.7888543819998317
it: 126, loss: 14.309452077753155, stepsize: 1.7817416127494958
it: 127, loss: 10.87774112187186, stepsize: 1.7747130188322278
it: 128, loss: 14.810841789044872, stepsize: 1.7677669529663687
it: 129, loss: 12.076518905129884, stepsize: 1.7609018126512477
it: 130, loss: 14.405257904328252, stepsize: 1.7541160386140586
it: 131, loss: 11.059557495280506, stepsize: 1.7474081133220758
it: 132, loss: 14.238351049167074, stepsize: 1.7407765595569784
it: 133, loss: 10.45869476322383, stepsize: 1.7342199390482398
it: 134, loss: 13.581444123962857, stepsize: 1.7277368511627202
it: 135, loss: 10.767556576754906, stepsize: 1.721325931647741
it: 136, loss: 13.226198257575643, stepsize: 1.7149858514250882
it: 137, loss: 10.256532030466994, stepsize: 1.7087153154335217
it: 138, loss: 12.263664156908687, stepsize: 1.7025130615174973
it: 139, loss: 10.004943474461099, stepsize: 1.696377859359942
it: 140, loss: 12.076452908286466, stepsize: 1.6903085094570331
it: 141, loss: 10.221355727229913, stepsize: 1.6843038421330379
it: 142, loss: 12.865774113410708, stepsize: 1.6783627165933783
it: 143, loss: 9.780690377266756, stepsize: 1.6724840200141815
it: 144, loss: 13.403042611932008, stepsize: 1.6666666666666667
it: 145, loss: 10.148501890444622, stepsize: 1.6609095970747993
it: 146, loss: 12.062064540253022, stepsize: 1.655211777204736
it: 147, loss: 9.370570195733901, stepsize: 1.6495721976846451
it: 148, loss: 12.787707233516315, stepsize: 1.643989873053573
it: 149, loss: 9.901487478534627, stepsize: 1.638463841038081
it: 150, loss: 12.397288099007978, stepsize: 1.632993161855452
it: 151, loss: 10.757027911489757, stepsize: 1.627576917542319
it: 152, loss: 11.68426432892039, stepsize: 1.6222142113076254
it: 153, loss: 9.161215029391027, stepsize: 1.6169041669088866
it: 154, loss: 11.616997089311878, stepsize: 1.6116459280507605
it: 155, loss: 9.064849469154478, stepsize: 1.6064386578049976
it: 156, loss: 11.686833653357185, stepsize: 1.6012815380508714
it: 157, loss: 8.59089449921858, stepsize: 1.5961737689352442
it: 158, loss: 11.529865170603095, stepsize: 1.59111456835146
it: 159, loss: 9.15463494677123, stepsize: 1.5861031714362883
it: 160, loss: 10.575213161977768, stepsize: 1.5811388300841895
it: 161, loss: 8.77912134631959, stepsize: 1.5762208124782013
it: 162, loss: 12.608819685831303, stepsize: 1.5713484026367723
it: 163, loss: 9.978378715610885, stepsize: 1.5665208999759148
it: 164, loss: 11.150040022953188, stepsize: 1.5617376188860608
it: 165, loss: 8.094015088962912, stepsize: 1.556997888323046
it: 166, loss: 10.133727661788482, stepsize: 1.5523010514126656
it: 167, loss: 7.864553545210773, stepsize: 1.5476464650682737
it: 168, loss: 11.65937719556375, stepsize: 1.543033499620919
it: 169, loss: 8.425532695357251, stepsize: 1.5384615384615385
it: 170, loss: 11.365505571927349, stepsize: 1.5339299776947408
