2019-05-19 18:18:57
sign_sgd_majority_one-point_log-reg_fix-step_20_10,0_1
it: 0, loss: 33714.65929296417, stepsize: 10.0
it: 1, loss: 25964.41601577366, stepsize: 10.0
it: 2, loss: 19466.34272807327, stepsize: 10.0
it: 3, loss: 14085.624759446553, stepsize: 10.0
it: 4, loss: 9734.42924662723, stepsize: 10.0
it: 5, loss: 6190.787986289325, stepsize: 10.0
it: 6, loss: 3639.924700343406, stepsize: 10.0
it: 7, loss: 1878.0662630533275, stepsize: 10.0
it: 8, loss: 782.6010471413572, stepsize: 10.0
it: 9, loss: 390.91338324881815, stepsize: 10.0
it: 10, loss: 124.40448981847476, stepsize: 10.0
it: 11, loss: 390.91338324881815, stepsize: 9.0
it: 12, loss: 86.90263058729134, stepsize: 9.0
it: 13, loss: 355.58476006898456, stepsize: 8.100000000000001
it: 14, loss: 61.415556104080984, stepsize: 8.100000000000001
it: 15, loss: 298.78155831601566, stepsize: 7.290000000000001
it: 16, loss: 43.09278507883772, stepsize: 7.290000000000001
it: 17, loss: 260.65189357997343, stepsize: 6.561
it: 18, loss: 30.662609919727334, stepsize: 6.561
it: 19, loss: 210.85347822489956, stepsize: 5.9049000000000005
it: 20, loss: 21.003310913910955, stepsize: 5.9049000000000005
it: 21, loss: 178.82160836764464, stepsize: 5.3144100000000005
it: 22, loss: 14.095296264939506, stepsize: 5.3144100000000005
it: 23, loss: 147.71121651962304, stepsize: 4.7829690000000005
it: 24, loss: 9.237838045102176, stepsize: 4.7829690000000005
it: 25, loss: 137.87057356950962, stepsize: 4.304672100000001
it: 26, loss: 7.31406578097397, stepsize: 4.304672100000001
it: 27, loss: 106.8157202198916, stepsize: 3.874204890000001
it: 28, loss: 5.368039551718031, stepsize: 3.874204890000001
it: 29, loss: 92.77046136110373, stepsize: 3.486784401000001
it: 30, loss: 4.450350975592886, stepsize: 3.486784401000001
it: 31, loss: 68.8747331490666, stepsize: 3.138105960900001
it: 32, loss: 2.452617388867509, stepsize: 3.138105960900001
it: 33, loss: 64.57815364342568, stepsize: 2.824295364810001
