2019-05-15 16:35:23
sign_sgd_majority_two-point_log-reg_fix-step_3_10,0_1
it: 101, loss: 1.0385016931173667, stepsize: 0.10775263664305829
it: 102, loss: 1.0385016931173667, stepsize: 0.09697737297875247
it: 103, loss: 1.0385016931173667, stepsize: 0.08727963568087722
it: 104, loss: 1.0385016931173667, stepsize: 0.0785516721127895
it: 105, loss: 0.9120945896755539, stepsize: 0.0785516721127895
it: 106, loss: 0.8817211441065707, stepsize: 0.0785516721127895
it: 107, loss: 0.8817211441065707, stepsize: 0.07069650490151055
it: 108, loss: 0.8683945488647972, stepsize: 0.07069650490151055
it: 109, loss: 0.8646279095661162, stepsize: 0.07069650490151055
it: 110, loss: 0.8202595988347519, stepsize: 0.07069650490151055
it: 111, loss: 0.8202595988347519, stepsize: 0.0636268544113595
it: 112, loss: 0.8106454962658703, stepsize: 0.0636268544113595
it: 113, loss: 0.807985917536531, stepsize: 0.0636268544113595
it: 114, loss: 0.807985917536531, stepsize: 0.057264168970223545
it: 115, loss: 0.807985917536531, stepsize: 0.051537752073201194
it: 116, loss: 0.7834245894157629, stepsize: 0.051537752073201194
it: 117, loss: 0.7834245894157629, stepsize: 0.04638397686588108
it: 118, loss: 0.7713787515990528, stepsize: 0.04638397686588108
it: 119, loss: 0.7713787515990528, stepsize: 0.041745579179292974
it: 120, loss: 0.7713787515990528, stepsize: 0.03757102126136368
it: 121, loss: 0.7713787515990528, stepsize: 0.033813919135227306
it: 122, loss: 0.7558310278472056, stepsize: 0.033813919135227306
it: 123, loss: 0.7427405901237487, stepsize: 0.033813919135227306
it: 124, loss: 0.7290070543669225, stepsize: 0.033813919135227306
it: 125, loss: 0.7290070543669225, stepsize: 0.03043252722170458
it: 126, loss: 0.7290070543669225, stepsize: 0.02738927449953412
it: 127, loss: 0.7114068853912799, stepsize: 0.02738927449953412
it: 128, loss: 0.7114068853912799, stepsize: 0.02465034704958071
it: 129, loss: 0.7114068853912799, stepsize: 0.02218531234462264
it: 130, loss: 0.7114068853912799, stepsize: 0.019966781110160377
it: 131, loss: 0.7114068853912799, stepsize: 0.01797010299914434
it: 132, loss: 0.7114068853912799, stepsize: 0.016173092699229907
it: 133, loss: 0.7114068853912799, stepsize: 0.014555783429306916
it: 134, loss: 0.7114068853912799, stepsize: 0.013100205086376222
