2019-05-19 18:19:48
sign_sgd_majority_two-point_log-reg_fix-step_20_10,0_1
it: 0, loss: 33714.65929296417, stepsize: 10.0
it: 1, loss: 25964.41601577366, stepsize: 10.0
it: 2, loss: 19466.34272807327, stepsize: 10.0
it: 3, loss: 14085.624759446553, stepsize: 10.0
it: 4, loss: 9734.42924662723, stepsize: 10.0
it: 5, loss: 6190.787986289325, stepsize: 10.0
it: 6, loss: 3639.924700343406, stepsize: 10.0
it: 7, loss: 1878.0662630533275, stepsize: 10.0
it: 8, loss: 782.6010471413572, stepsize: 10.0
it: 9, loss: 390.91338324881815, stepsize: 10.0
it: 10, loss: 124.40448981847476, stepsize: 10.0
it: 11, loss: 124.40448981847476, stepsize: 9.0
it: 12, loss: 124.40448981847476, stepsize: 8.100000000000001
it: 13, loss: 124.40448981847476, stepsize: 7.290000000000001
it: 14, loss: 124.40448981847476, stepsize: 6.561
it: 15, loss: 124.40448981847476, stepsize: 5.9049000000000005
it: 16, loss: 110.1856187315256, stepsize: 5.9049000000000005
it: 17, loss: 77.44837178190232, stepsize: 5.9049000000000005
it: 18, loss: 77.44837178190232, stepsize: 5.3144100000000005
it: 19, loss: 77.44837178190232, stepsize: 4.7829690000000005
it: 20, loss: 64.74895541942946, stepsize: 4.7829690000000005
it: 21, loss: 53.72001600422758, stepsize: 4.7829690000000005
it: 22, loss: 53.72001600422758, stepsize: 4.304672100000001
it: 23, loss: 48.8393703722972, stepsize: 4.304672100000001
it: 24, loss: 48.8393703722972, stepsize: 3.874204890000001
it: 25, loss: 41.12642857804486, stepsize: 3.874204890000001
it: 26, loss: 41.12642857804486, stepsize: 3.486784401000001
it: 27, loss: 41.12642857804486, stepsize: 3.138105960900001
it: 28, loss: 30.36575743841298, stepsize: 3.138105960900001
it: 29, loss: 27.472440129927065, stepsize: 3.138105960900001
it: 30, loss: 27.472440129927065, stepsize: 2.824295364810001
it: 31, loss: 21.333203322785835, stepsize: 2.824295364810001
it: 32, loss: 21.333203322785835, stepsize: 2.5418658283290005
it: 33, loss: 20.018375453719415, stepsize: 2.5418658283290005
