2019-05-19 18:19:18
sign_sgd_majority_two-point_log-reg_var-step_20_5,0_1
it: 0, loss: 33714.65929296417, stepsize: 5.0
it: 1, loss: 29664.447575508937, stepsize: 5.0
it: 2, loss: 26994.752839886976, stepsize: 3.5355339059327373
it: 3, loss: 24938.320462636068, stepsize: 2.886751345948129
it: 4, loss: 23242.895469849205, stepsize: 2.5
it: 5, loss: 21796.690906705946, stepsize: 2.23606797749979
it: 6, loss: 20516.76698971959, stepsize: 2.041241452319315
it: 7, loss: 19379.724999801572, stepsize: 1.889822365046136
it: 8, loss: 18345.352160275, stepsize: 1.7677669529663687
it: 9, loss: 17407.439388954852, stepsize: 1.6666666666666667
it: 10, loss: 16540.644501096187, stepsize: 1.5811388300841895
it: 11, loss: 15744.801064946007, stepsize: 1.507556722888818
it: 12, loss: 15001.5998423358, stepsize: 1.4433756729740645
it: 13, loss: 14311.469493621165, stepsize: 1.386750490563073
it: 14, loss: 13663.644449782732, stepsize: 1.3363062095621219
it: 15, loss: 13052.803754658373, stepsize: 1.2909944487358056
it: 16, loss: 12475.674068320408, stepsize: 1.25
it: 17, loss: 11931.961739131306, stepsize: 1.212678125181665
it: 18, loss: 11413.662383593217, stepsize: 1.1785113019775793
it: 19, loss: 10924.074909106346, stepsize: 1.1470786693528088
it: 20, loss: 10455.134047156496, stepsize: 1.118033988749895
it: 21, loss: 10010.957996075911, stepsize: 1.091089451179962
it: 22, loss: 9585.243819337327, stepsize: 1.0660035817780522
it: 23, loss: 9181.172405562163, stepsize: 1.0425720702853738
it: 24, loss: 8792.42222501585, stepsize: 1.0206207261596576
it: 25, loss: 8422.835802724088, stepsize: 1.0
it: 26, loss: 8067.388603540458, stepsize: 0.9805806756909202
it: 27, loss: 7728.754678458116, stepsize: 0.9622504486493763
it: 28, loss: 7402.605910770795, stepsize: 0.944911182523068
it: 29, loss: 7091.8850376767305, stepsize: 0.9284766908852594
it: 30, loss: 6793.679735089367, stepsize: 0.9128709291752769
it: 31, loss: 6505.8233385681415, stepsize: 0.8980265101338746
it: 32, loss: 6229.842457840382, stepsize: 0.8838834764831843
it: 33, loss: 5966.711494871851, stepsize: 0.8703882797784892
it: 34, loss: 5712.190951102473, stepsize: 0.8574929257125441
it: 35, loss: 5469.741439713594, stepsize: 0.8451542547285166
it: 36, loss: 5235.076378787386, stepsize: 0.8333333333333334
it: 37, loss: 5011.04912812719, stepsize: 0.8219949365267865
it: 38, loss: 4795.202316133373, stepsize: 0.8111071056538127
it: 39, loss: 4589.183443789292, stepsize: 0.8006407690254357
it: 40, loss: 4389.717439898248, stepsize: 0.7905694150420948
it: 41, loss: 4199.365685569836, stepsize: 0.7808688094430304
it: 42, loss: 4017.054280539059, stepsize: 0.7715167498104595
it: 43, loss: 3841.0707870103206, stepsize: 0.7624928516630234
it: 44, loss: 3674.47067991511, stepsize: 0.753778361444409
it: 45, loss: 3510.5749947314443, stepsize: 0.7453559924999299
it: 46, loss: 3354.0970295441293, stepsize: 0.7372097807744856
it: 47, loss: 3204.4975159767396, stepsize: 0.7293249574894728
it: 48, loss: 3059.8905289588406, stepsize: 0.7216878364870323
it: 49, loss: 2921.617482433938, stepsize: 0.7142857142857143
it: 50, loss: 2787.5411061671693, stepsize: 0.7071067811865475
it: 51, loss: 2658.9254549908646, stepsize: 0.7001400420140048
it: 52, loss: 2534.268415564486, stepsize: 0.6933752452815365
it: 53, loss: 2414.5940143699327, stepsize: 0.6868028197434451
it: 54, loss: 2298.991539570737, stepsize: 0.6804138174397717
it: 55, loss: 2188.329892173151, stepsize: 0.674199862463242
it: 56, loss: 2080.740539005496, stepsize: 0.6681531047810609
it: 57, loss: 1978.2337181089495, stepsize: 0.6622661785325219
it: 58, loss: 1878.6227223890985, stepsize: 0.6565321642986127
it: 59, loss: 1783.5647076652713, stepsize: 0.6509445549041194
it: 60, loss: 1691.813859663371, stepsize: 0.6454972243679028
it: 61, loss: 1604.1033477946753, stepsize: 0.6401843996644799
it: 62, loss: 1519.5608252521472, stepsize: 0.6350006350009525
it: 63, loss: 1438.9527868937103, stepsize: 0.629940788348712
it: 64, loss: 1361.1797306983508, stepsize: 0.625
it: 65, loss: 1287.1154172007355, stepsize: 0.6201736729460423
it: 66, loss: 1216.0417719157354, stepsize: 0.6154574548966636
it: 67, loss: 1148.360886591525, stepsize: 0.6108472217815261
it: 68, loss: 1083.5631093710654, stepsize: 0.6063390625908325
it: 69, loss: 1022.275375106376, stepsize: 0.601929265428846
it: 70, loss: 964.2783385605684, stepsize: 0.5976143046671968
it: 71, loss: 907.7629736263307, stepsize: 0.5933908290969266
it: 72, loss: 854.4330730204867, stepsize: 0.5892556509887896
it: 73, loss: 804.6267887097057, stepsize: 0.5852057359806528
it: 74, loss: 757.8704174848256, stepsize: 0.5812381937190965
it: 75, loss: 714.0227747132874, stepsize: 0.5773502691896257
it: 76, loss: 668.9004030758352, stepsize: 0.5735393346764044
it: 77, loss: 628.1403158858498, stepsize: 0.5698028822981898
it: 78, loss: 589.220647258863, stepsize: 0.5661385170722978
it: 79, loss: 549.9838664535442, stepsize: 0.562543950463012
it: 80, loss: 515.6045946316804, stepsize: 0.5590169943749475
it: 81, loss: 479.30548412677433, stepsize: 0.5555555555555556
it: 82, loss: 445.00543321571087, stepsize: 0.5521576303742327
it: 83, loss: 413.8135839185293, stepsize: 0.5488212999484517
it: 84, loss: 383.3326088438968, stepsize: 0.545544725589981
it: 85, loss: 354.4049563714604, stepsize: 0.5423261445466404
it: 86, loss: 326.20023065760023, stepsize: 0.539163866017192
it: 87, loss: 300.17407615371906, stepsize: 0.5360562674188973
it: 88, loss: 275.2039240810516, stepsize: 0.5330017908890261
it: 89, loss: 251.4996946655981, stepsize: 0.52999894000318
it: 90, loss: 228.40712706695362, stepsize: 0.5270462766947299
it: 91, loss: 208.16917084138444, stepsize: 0.5241424183609592
it: 92, loss: 187.384796187388, stepsize: 0.5212860351426869
it: 93, loss: 168.53728282078308, stepsize: 0.5184758473652127
it: 94, loss: 151.1494819932494, stepsize: 0.5157106231293966
it: 95, loss: 134.12669792202695, stepsize: 0.5129891760425771
it: 96, loss: 119.04883753731646, stepsize: 0.5103103630798288
it: 97, loss: 104.7904458731564, stepsize: 0.5076730825668095
it: 98, loss: 90.80033337558862, stepsize: 0.5050762722761054
it: 99, loss: 78.64470241926605, stepsize: 0.502518907629606
it: 100, loss: 68.46720354907787, stepsize: 0.5
it: 101, loss: 60.7867257292259, stepsize: 0.4975185951049946
it: 102, loss: 51.87618892537754, stepsize: 0.4950737714883372
it: 103, loss: 41.295090670640995, stepsize: 0.4926646390821466
it: 104, loss: 34.747985073569154, stepsize: 0.4902903378454601
it: 105, loss: 27.1097358579723, stepsize: 0.4879500364742666
it: 106, loss: 20.767652250331007, stepsize: 0.48564293117863205
it: 107, loss: 16.86564837793471, stepsize: 0.4833682445228318
it: 108, loss: 13.582085244475607, stepsize: 0.4811252243246881
it: 109, loss: 8.73104007476855, stepsize: 0.47891314261057566
it: 110, loss: 7.42445413814525, stepsize: 0.4767312946227962
it: 111, loss: 3.7675791733619866, stepsize: 0.4745789978762495
it: 112, loss: 1.8138482420242712, stepsize: 0.472455591261534
it: 113, loss: 1.8138482420242712, stepsize: 0.4703604341917986
it: 114, loss: 1.8138482420242712, stepsize: 0.468292905790847
it: 115, loss: 1.8138482420242712, stepsize: 0.4662524041201569
it: 116, loss: 1.8138482420242712, stepsize: 0.4642383454426297
it: 117, loss: 1.8138482420242712, stepsize: 0.4622501635210242
