2019-05-19 18:18:26
sign_sgd_majority_one-point_log-reg_var-step_20_2,0_1
it: 0, loss: 33714.65929296417, stepsize: 2.0
it: 1, loss: 32052.559230209885, stepsize: 2.0
it: 2, loss: 30911.08708320397, stepsize: 1.414213562373095
it: 3, loss: 29997.936458074048, stepsize: 1.1547005383792517
it: 4, loss: 29221.55959259199, stepsize: 1.0
it: 5, loss: 28537.805521374605, stepsize: 0.8944271909999159
it: 6, loss: 27923.05228593256, stepsize: 0.8164965809277261
it: 7, loss: 27361.320332828003, stepsize: 0.7559289460184544
it: 8, loss: 26842.88921915888, stepsize: 0.7071067811865475
it: 9, loss: 26359.793487954295, stepsize: 0.6666666666666666
it: 10, loss: 25907.24690103778, stepsize: 0.6324555320336759
it: 11, loss: 25480.064739504473, stepsize: 0.6030226891555273
it: 12, loss: 25076.020649408678, stepsize: 0.5773502691896258
it: 13, loss: 24691.41168933469, stepsize: 0.5547001962252291
it: 14, loss: 24324.870604856456, stepsize: 0.5345224838248488
it: 15, loss: 23974.558418245073, stepsize: 0.5163977794943222
it: 16, loss: 23638.055023969875, stepsize: 0.5
it: 17, loss: 23315.306175618447, stepsize: 0.48507125007266594
it: 18, loss: 23003.974892823753, stepsize: 0.47140452079103173
it: 19, loss: 22703.526844322427, stepsize: 0.4588314677411235
it: 20, loss: 22413.51142195026, stepsize: 0.4472135954999579
it: 21, loss: 22131.87729992276, stepsize: 0.4364357804719848
it: 22, loss: 21859.4548788059, stepsize: 0.42640143271122083
it: 23, loss: 21594.25819781805, stepsize: 0.41702882811414954
it: 24, loss: 21337.09843102069, stepsize: 0.4082482904638631
it: 25, loss: 21086.405640259993, stepsize: 0.4
it: 26, loss: 20842.85389127662, stepsize: 0.3922322702763681
it: 27, loss: 20604.882223605793, stepsize: 0.3849001794597505
it: 28, loss: 20373.3870884875, stepsize: 0.3779644730092272
it: 29, loss: 20146.86167190514, stepsize: 0.3713906763541037
it: 30, loss: 19926.127007520594, stepsize: 0.3651483716701107
it: 31, loss: 19710.54221280901, stepsize: 0.3592106040535498
it: 32, loss: 19499.06431628693, stepsize: 0.35355339059327373
it: 33, loss: 19292.283635986205, stepsize: 0.3481553119113957
it: 34, loss: 19090.22743755151, stepsize: 0.34299717028501764
it: 35, loss: 18892.048633780254, stepsize: 0.3380617018914066
it: 36, loss: 18698.16183806612, stepsize: 0.3333333333333333
it: 37, loss: 18507.82921616104, stepsize: 0.3287979746107146
it: 38, loss: 18321.46250855282, stepsize: 0.3244428422615251
it: 39, loss: 18138.360403668714, stepsize: 0.32025630761017426
it: 40, loss: 17959.029538640123, stepsize: 0.31622776601683794
it: 41, loss: 17782.536573989473, stepsize: 0.31234752377721214
it: 42, loss: 17609.55920881077, stepsize: 0.3086066999241838
it: 43, loss: 17439.380837971454, stepsize: 0.30499714066520933
it: 44, loss: 17272.489139774072, stepsize: 0.30151134457776363
it: 45, loss: 17108.031590176433, stepsize: 0.29814239699997197
it: 46, loss: 16946.683584337577, stepsize: 0.29488391230979427
it: 47, loss: 16787.71720814509, stepsize: 0.2917299829957891
it: 48, loss: 16631.590400473084, stepsize: 0.2886751345948129
it: 49, loss: 16477.747935645217, stepsize: 0.2857142857142857
it: 50, loss: 16326.578634553647, stepsize: 0.282842712474619
it: 51, loss: 16177.503268120761, stepsize: 0.28005601680560194
it: 52, loss: 16030.895445405235, stepsize: 0.2773500981126146
it: 53, loss: 15886.421070826944, stepsize: 0.27472112789737807
it: 54, loss: 15744.200368446096, stepsize: 0.2721655269759087
it: 55, loss: 15603.993223859788, stepsize: 0.26967994498529685
it: 56, loss: 15465.920492551575, stepsize: 0.2672612419124244
it: 57, loss: 15329.75603018516, stepsize: 0.26490647141300877
it: 58, loss: 15195.690384895086, stepsize: 0.2626128657194451
it: 59, loss: 15063.306970316411, stepsize: 0.26037782196164777
it: 60, loss: 14932.630799981958, stepsize: 0.2581988897471611
it: 61, loss: 14803.553416563056, stepsize: 0.25607375986579195
it: 62, loss: 14676.436967474065, stepsize: 0.254000254000381
it: 63, loss: 14550.7762191056, stepsize: 0.2519763153394848
it: 64, loss: 14426.920199071274, stepsize: 0.25
it: 65, loss: 14304.45016715489, stepsize: 0.24806946917841693
it: 66, loss: 14183.709080831668, stepsize: 0.24618298195866545
it: 67, loss: 14064.281945166997, stepsize: 0.24433888871261045
it: 68, loss: 13946.513053906096, stepsize: 0.24253562503633297
it: 69, loss: 13829.999794082081, stepsize: 0.2407717061715384
it: 70, loss: 13715.084862632384, stepsize: 0.23904572186687872
it: 71, loss: 13601.5871105098, stepsize: 0.23735633163877065
it: 72, loss: 13489.165358670267, stepsize: 0.23570226039551587
it: 73, loss: 13378.102299312703, stepsize: 0.23408229439226114
it: 74, loss: 13268.519594886571, stepsize: 0.23249527748763857
it: 75, loss: 13160.033148564837, stepsize: 0.23094010767585027
it: 76, loss: 13052.957976749918, stepsize: 0.22941573387056174
it: 77, loss: 12946.834325399113, stepsize: 0.2279211529192759
it: 78, loss: 12842.069956078361, stepsize: 0.22645540682891913
it: 79, loss: 12738.215769234677, stepsize: 0.2250175801852048
it: 80, loss: 12635.676547789859, stepsize: 0.22360679774997896
it: 81, loss: 12534.005705950056, stepsize: 0.2222222222222222
it: 82, loss: 12433.606042422522, stepsize: 0.22086305214969307
it: 83, loss: 12334.04280577876, stepsize: 0.2195285199793807
it: 84, loss: 12235.716320109239, stepsize: 0.2182178902359924
it: 85, loss: 12138.472169134922, stepsize: 0.21693045781865616
it: 86, loss: 12041.843268182574, stepsize: 0.21566554640687682
it: 87, loss: 11946.260711904102, stepsize: 0.21442250696755896
it: 88, loss: 11851.838346479255, stepsize: 0.21320071635561041
it: 89, loss: 11758.16365227498, stepsize: 0.211999576001272
it: 90, loss: 11665.65983918373, stepsize: 0.21081851067789195
it: 91, loss: 11573.757442919972, stepsize: 0.20965696734438366
it: 92, loss: 11482.946393263283, stepsize: 0.20851441405707477
it: 93, loss: 11393.055914507357, stepsize: 0.20739033894608505
it: 94, loss: 11303.851947207188, stepsize: 0.20628424925175867
it: 95, loss: 11215.540210284431, stepsize: 0.20519567041703082
it: 96, loss: 11128.202281934438, stepsize: 0.20412414523193154
it: 97, loss: 11041.508209541473, stepsize: 0.20306923302672383
it: 98, loss: 10955.816788720736, stepsize: 0.20203050891044214
it: 99, loss: 10870.721933522824, stepsize: 0.20100756305184242
it: 100, loss: 10786.600493018415, stepsize: 0.2
it: 101, loss: 10703.083860042143, stepsize: 0.19900743804199783
it: 102, loss: 10620.500611647176, stepsize: 0.19802950859533489
it: 103, loss: 10538.501453584164, stepsize: 0.19706585563285864
it: 104, loss: 10457.424963353697, stepsize: 0.19611613513818404
it: 105, loss: 10377.141100980243, stepsize: 0.19518001458970666
it: 106, loss: 10297.261473094777, stepsize: 0.19425717247145283
it: 107, loss: 10218.191207927035, stepsize: 0.1933472978091327
it: 108, loss: 10139.88752024514, stepsize: 0.19245008972987526
it: 109, loss: 10062.227097316267, stepsize: 0.19156525704423027
it: 110, loss: 9985.36944727937, stepsize: 0.19069251784911848
it: 111, loss: 9909.026078812209, stepsize: 0.1898315991504998
it: 112, loss: 9833.517752021158, stepsize: 0.1889822365046136
it: 113, loss: 9758.688617946895, stepsize: 0.18814417367671946
it: 114, loss: 9684.309424291972, stepsize: 0.1873171623163388
it: 115, loss: 9610.725215756294, stepsize: 0.18650096164806276
it: 116, loss: 9537.61196291982, stepsize: 0.18569533817705186
it: 117, loss: 9465.071243084196, stepsize: 0.1849000654084097
it: 118, loss: 9393.399864834222, stepsize: 0.1841149235796647
it: 119, loss: 9322.078911700937, stepsize: 0.18333969940564226
it: 120, loss: 9251.55636040561, stepsize: 0.18257418583505536
it: 121, loss: 9181.560439068886, stepsize: 0.18181818181818182
it: 122, loss: 9112.127880959817, stepsize: 0.18107149208503706
it: 123, loss: 9043.292693029776, stepsize: 0.18033392693348646
it: 124, loss: 8974.97029298095, stepsize: 0.1796053020267749
it: 125, loss: 8907.219822882193, stepsize: 0.17888543819998318
it: 126, loss: 8840.132184073414, stepsize: 0.1781741612749496
it: 127, loss: 8773.451374337785, stepsize: 0.17747130188322277
it: 128, loss: 8707.470963211246, stepsize: 0.17677669529663687
it: 129, loss: 8641.881140256912, stepsize: 0.17609018126512477
it: 130, loss: 8576.887300328759, stepsize: 0.17541160386140586
it: 131, loss: 8512.375240936037, stepsize: 0.1747408113322076
it: 132, loss: 8448.483018234636, stepsize: 0.17407765595569785
it: 133, loss: 8384.96946909039, stepsize: 0.173421993904824
it: 134, loss: 8322.114052824221, stepsize: 0.17277368511627203
it: 135, loss: 8259.616394801038, stepsize: 0.17213259316477408
it: 136, loss: 8197.678708247682, stepsize: 0.17149858514250882
it: 137, loss: 8136.190094791044, stepsize: 0.1708715315433522
it: 138, loss: 8075.304002954599, stepsize: 0.17025130615174972
it: 139, loss: 8014.728965454149, stepsize: 0.16963778593599418
it: 140, loss: 7954.827135614838, stepsize: 0.1690308509457033
it: 141, loss: 7895.164328871054, stepsize: 0.1684303842133038
it: 142, loss: 7836.164214903258, stepsize: 0.16783627165933782
it: 143, loss: 7777.639134658269, stepsize: 0.16724840200141816
it: 144, loss: 7719.39889182717, stepsize: 0.16666666666666666
it: 145, loss: 7661.565435696349, stepsize: 0.16609095970747995
it: 146, loss: 7604.350664208069, stepsize: 0.1655211777204736
it: 147, loss: 7547.454835901861, stepsize: 0.1649572197684645
it: 148, loss: 7491.116812842313, stepsize: 0.1643989873053573
it: 149, loss: 7435.088428601404, stepsize: 0.1638463841038081
it: 150, loss: 7379.6089256326595, stepsize: 0.16329931618554522
it: 151, loss: 7324.431326325576, stepsize: 0.16275769175423188
it: 152, loss: 7269.792451122226, stepsize: 0.16222142113076254
it: 153, loss: 7215.449789204658, stepsize: 0.16169041669088866
it: 154, loss: 7161.636726731186, stepsize: 0.16116459280507606
it: 155, loss: 7108.183378087768, stepsize: 0.16064386578049977
it: 156, loss: 7055.1066966651515, stepsize: 0.16012815380508713
it: 157, loss: 7002.383969171438, stepsize: 0.15961737689352443
it: 158, loss: 6950.222586929752, stepsize: 0.159111456835146
it: 159, loss: 6898.4091705003675, stepsize: 0.15861031714362883
it: 160, loss: 6846.855747753501, stepsize: 0.15811388300841897
it: 161, loss: 6795.813537487291, stepsize: 0.15762208124782012
it: 162, loss: 6745.025198882, stepsize: 0.15713484026367722
it: 163, loss: 6694.569836681723, stepsize: 0.15665208999759148
it: 164, loss: 6644.70187980587, stepsize: 0.15617376188860607
it: 165, loss: 6594.991467689731, stepsize: 0.1556997888323046
it: 166, loss: 6545.810313221568, stepsize: 0.15523010514126656
it: 167, loss: 6496.8804887836495, stepsize: 0.15476464650682736
it: 168, loss: 6448.393900746074, stepsize: 0.1543033499620919
it: 169, loss: 6400.267392825248, stepsize: 0.15384615384615385
