2019-05-19 18:19:22
sign_sgd_majority_two-point_log-reg_var-step_20_10,0_1
it: 99, loss: 3.5618612092190816, stepsize: 1.005037815259212
it: 100, loss: 3.5618612092190816, stepsize: 1.0
it: 101, loss: 3.5618612092190816, stepsize: 0.9950371902099892
it: 102, loss: 3.5618612092190816, stepsize: 0.9901475429766744
it: 103, loss: 3.5618612092190816, stepsize: 0.9853292781642932
it: 104, loss: 3.5618612092190816, stepsize: 0.9805806756909202
it: 105, loss: 3.5618612092190816, stepsize: 0.9759000729485332
it: 106, loss: 3.5618612092190816, stepsize: 0.9712858623572641
it: 107, loss: 3.5618612092190816, stepsize: 0.9667364890456636
it: 108, loss: 3.5618612092190816, stepsize: 0.9622504486493763
it: 109, loss: 3.5618612092190816, stepsize: 0.9578262852211513
it: 110, loss: 3.5618612092190816, stepsize: 0.9534625892455924
it: 111, loss: 3.5432168917717597, stepsize: 0.949157995752499
it: 112, loss: 3.5432168917717597, stepsize: 0.944911182523068
it: 113, loss: 3.5432168917717597, stepsize: 0.9407208683835973
it: 114, loss: 3.5432168917717597, stepsize: 0.936585811581694
it: 115, loss: 3.5432168917717597, stepsize: 0.9325048082403138
it: 116, loss: 3.5432168917717597, stepsize: 0.9284766908852594
it: 117, loss: 3.5432168917717597, stepsize: 0.9245003270420484
it: 118, loss: 3.5432168917717597, stepsize: 0.9205746178983234
it: 119, loss: 3.5432168917717597, stepsize: 0.9166984970282114
it: 120, loss: 3.5432168917717597, stepsize: 0.9128709291752769
it: 121, loss: 3.1599520775302397, stepsize: 0.9090909090909091
it: 122, loss: 3.1599520775302397, stepsize: 0.9053574604251853
it: 123, loss: 3.1599520775302397, stepsize: 0.9016696346674322
it: 124, loss: 3.1599520775302397, stepsize: 0.8980265101338746
it: 125, loss: 3.1599520775302397, stepsize: 0.8944271909999159
it: 126, loss: 3.1599520775302397, stepsize: 0.8908708063747479
it: 127, loss: 3.1599520775302397, stepsize: 0.8873565094161139
it: 128, loss: 3.1599520775302397, stepsize: 0.8838834764831843
it: 129, loss: 3.1599520775302397, stepsize: 0.8804509063256238
it: 130, loss: 3.1599520775302397, stepsize: 0.8770580193070293
it: 131, loss: 3.1599520775302397, stepsize: 0.8737040566610379
it: 132, loss: 3.1599520775302397, stepsize: 0.8703882797784892
it: 133, loss: 3.1599520775302397, stepsize: 0.8671099695241199
it: 134, loss: 3.1599520775302397, stepsize: 0.8638684255813601
it: 135, loss: 3.1599520775302397, stepsize: 0.8606629658238705
it: 136, loss: 3.1599520775302397, stepsize: 0.8574929257125441
it: 137, loss: 3.1599520775302397, stepsize: 0.8543576577167609
it: 138, loss: 3.1599520775302397, stepsize: 0.8512565307587486
it: 139, loss: 3.1599520775302397, stepsize: 0.848188929679971
it: 140, loss: 3.1599520775302397, stepsize: 0.8451542547285166
it: 141, loss: 3.1599520775302397, stepsize: 0.8421519210665189
it: 142, loss: 3.1599520775302397, stepsize: 0.8391813582966892
it: 143, loss: 2.95292814236429, stepsize: 0.8362420100070908
it: 144, loss: 2.7984427393553615, stepsize: 0.8333333333333334
it: 145, loss: 2.7984427393553615, stepsize: 0.8304547985373997
it: 146, loss: 2.7984427393553615, stepsize: 0.827605888602368
it: 147, loss: 2.7984427393553615, stepsize: 0.8247860988423226
it: 148, loss: 2.7984427393553615, stepsize: 0.8219949365267865
it: 149, loss: 2.7984427393553615, stepsize: 0.8192319205190405
it: 150, loss: 2.7984427393553615, stepsize: 0.816496580927726
it: 151, loss: 2.7984427393553615, stepsize: 0.8137884587711595
it: 152, loss: 2.7984427393553615, stepsize: 0.8111071056538127
it: 153, loss: 2.7984427393553615, stepsize: 0.8084520834544433
it: 154, loss: 2.7984427393553615, stepsize: 0.8058229640253802
it: 155, loss: 2.7984427393553615, stepsize: 0.8032193289024988
it: 156, loss: 2.7984427393553615, stepsize: 0.8006407690254357
it: 157, loss: 2.7984427393553615, stepsize: 0.7980868844676221
it: 158, loss: 2.7984427393553615, stepsize: 0.79555728417573
it: 159, loss: 2.7984427393553615, stepsize: 0.7930515857181442
it: 160, loss: 2.67101008089256, stepsize: 0.7905694150420948
it: 161, loss: 2.67101008089256, stepsize: 0.7881104062391007
it: 162, loss: 2.67101008089256, stepsize: 0.7856742013183862
it: 163, loss: 2.67101008089256, stepsize: 0.7832604499879574
it: 164, loss: 2.67101008089256, stepsize: 0.7808688094430304
it: 165, loss: 2.67101008089256, stepsize: 0.778498944161523
it: 166, loss: 2.67101008089256, stepsize: 0.7761505257063328
it: 167, loss: 2.67101008089256, stepsize: 0.7738232325341369
it: 168, loss: 2.67101008089256, stepsize: 0.7715167498104595
it: 169, loss: 2.67101008089256, stepsize: 0.7692307692307693
it: 170, loss: 2.67101008089256, stepsize: 0.7669649888473704
it: 171, loss: 2.67101008089256, stepsize: 0.7647191129018726
it: 172, loss: 2.67101008089256, stepsize: 0.7624928516630234
it: 173, loss: 2.67101008089256, stepsize: 0.7602859212697055
it: 174, loss: 2.67101008089256, stepsize: 0.7580980435789034
it: 175, loss: 2.67101008089256, stepsize: 0.7559289460184545
