2019-05-19 18:19:41
sign_sgd_majority_two-point_log-reg_fix-step_20_2,0_1
it: 106, loss: 0.8227627236552624, stepsize: 0.023945030365124065
it: 107, loss: 0.8227627236552624, stepsize: 0.02155052732861166
it: 108, loss: 0.8227627236552624, stepsize: 0.019395474595750493
it: 109, loss: 0.8227627236552624, stepsize: 0.017455927136175445
it: 110, loss: 0.8227627236552624, stepsize: 0.0157103344225579
it: 111, loss: 0.8199546886676317, stepsize: 0.0157103344225579
it: 112, loss: 0.8199546886676317, stepsize: 0.01413930098030211
it: 113, loss: 0.8199546886676317, stepsize: 0.0127253708822719
it: 114, loss: 0.8199546886676317, stepsize: 0.01145283379404471
it: 115, loss: 0.8199546886676317, stepsize: 0.01030755041464024
it: 116, loss: 0.8199546886676317, stepsize: 0.009276795373176216
it: 117, loss: 0.8199546886676317, stepsize: 0.008349115835858595
it: 118, loss: 0.8199546886676317, stepsize: 0.007514204252272735
it: 119, loss: 0.8199546886676317, stepsize: 0.006762783827045461
it: 120, loss: 0.8199546886676317, stepsize: 0.0060865054443409155
it: 121, loss: 0.8199546886676317, stepsize: 0.005477854899906824
it: 122, loss: 0.8199546886676317, stepsize: 0.004930069409916142
it: 123, loss: 0.8199546886676317, stepsize: 0.004437062468924528
it: 124, loss: 0.8199546886676317, stepsize: 0.003993356222032075
it: 125, loss: 0.8199546886676317, stepsize: 0.003594020599828868
it: 126, loss: 0.8199546886676317, stepsize: 0.003234618539845981
it: 127, loss: 0.8199546886676317, stepsize: 0.002911156685861383
it: 128, loss: 0.8199546886676317, stepsize: 0.0026200410172752446
it: 129, loss: 0.8199546886676317, stepsize: 0.0023580369155477205
it: 130, loss: 0.8199546886676317, stepsize: 0.002122233223992948
it: 131, loss: 0.8199546886676317, stepsize: 0.0019100099015936535
it: 132, loss: 0.8199546886676317, stepsize: 0.0017190089114342882
it: 133, loss: 0.8199546886676317, stepsize: 0.0015471080202908594
it: 134, loss: 0.8199546886676317, stepsize: 0.0013923972182617735
it: 135, loss: 0.8199546886676317, stepsize: 0.0012531574964355962
it: 136, loss: 0.8198024299172895, stepsize: 0.0012531574964355962
it: 137, loss: 0.8198024299172895, stepsize: 0.0011278417467920367
it: 138, loss: 0.8198024299172895, stepsize: 0.001015057572112833
it: 139, loss: 0.8198024299172895, stepsize: 0.0009135518149015497
it: 140, loss: 0.8198024299172895, stepsize: 0.0008221966334113948
it: 141, loss: 0.8198024299172895, stepsize: 0.0007399769700702553
it: 142, loss: 0.8198024299172895, stepsize: 0.0006659792730632298
it: 143, loss: 0.8198024299172895, stepsize: 0.0005993813457569068
it: 144, loss: 0.8198024299172895, stepsize: 0.0005394432111812162
it: 145, loss: 0.8198024299172895, stepsize: 0.0004854988900630946
it: 146, loss: 0.8198024299172895, stepsize: 0.0004369490010567851
it: 147, loss: 0.8198024299172895, stepsize: 0.00039325410095110663
it: 148, loss: 0.8198024299172895, stepsize: 0.00035392869085599594
it: 149, loss: 0.8198024299172895, stepsize: 0.00031853582177039636
it: 150, loss: 0.8198024299172895, stepsize: 0.00028668223959335673
it: 151, loss: 0.8198024299172895, stepsize: 0.0002580140156340211
it: 152, loss: 0.819714780454454, stepsize: 0.0002580140156340211
it: 153, loss: 0.819714780454454, stepsize: 0.00023221261407061898
it: 154, loss: 0.819714780454454, stepsize: 0.00020899135266355708
it: 155, loss: 0.819714780454454, stepsize: 0.00018809221739720137
it: 156, loss: 0.819714780454454, stepsize: 0.00016928299565748125
it: 157, loss: 0.819714780454454, stepsize: 0.00015235469609173314
it: 158, loss: 0.8196984152952765, stepsize: 0.00015235469609173314
it: 159, loss: 0.8196984152952765, stepsize: 0.0001371192264825598
it: 160, loss: 0.8196984152952765, stepsize: 0.00012340730383430385
it: 161, loss: 0.8196984152952765, stepsize: 0.00011106657345087345
it: 162, loss: 0.8196984152952765, stepsize: 9.995991610578612e-05
it: 163, loss: 0.8196984152952765, stepsize: 8.99639244952075e-05
it: 164, loss: 0.8196984152952765, stepsize: 8.096753204568675e-05
it: 165, loss: 0.8196984152952765, stepsize: 7.287077884111808e-05
it: 166, loss: 0.8196942145422799, stepsize: 7.287077884111808e-05
it: 167, loss: 0.8196942145422799, stepsize: 6.558370095700628e-05
it: 168, loss: 0.8196942145422799, stepsize: 5.902533086130565e-05
it: 169, loss: 0.8196942145422799, stepsize: 5.312279777517509e-05
it: 170, loss: 0.8196942145422799, stepsize: 4.7810517997657576e-05
it: 171, loss: 0.8196942145422799, stepsize: 4.302946619789182e-05
it: 172, loss: 0.8196942145422799, stepsize: 3.872651957810264e-05
it: 173, loss: 0.8196942145422799, stepsize: 3.4853867620292376e-05
it: 174, loss: 0.8196942145422799, stepsize: 3.136848085826314e-05
it: 175, loss: 0.8196942145422799, stepsize: 2.8231632772436826e-05
it: 176, loss: 0.8196942145422799, stepsize: 2.5408469495193145e-05
it: 177, loss: 0.8196942145422799, stepsize: 2.2867622545673832e-05
it: 178, loss: 0.819686804383797, stepsize: 2.2867622545673832e-05
it: 179, loss: 0.819686804383797, stepsize: 2.058086029110645e-05
it: 180, loss: 0.819686804383797, stepsize: 1.8522774261995802e-05
it: 181, loss: 0.8196772654138349, stepsize: 1.8522774261995802e-05
it: 182, loss: 0.8196772654138349, stepsize: 1.6670496835796223e-05
it: 183, loss: 0.8196772654138349, stepsize: 1.5003447152216601e-05
it: 184, loss: 0.8196772654138349, stepsize: 1.3503102436994941e-05
it: 185, loss: 0.8196772654138349, stepsize: 1.2152792193295448e-05
it: 186, loss: 0.8196707798129081, stepsize: 1.2152792193295448e-05
it: 187, loss: 0.8196669364750553, stepsize: 1.2152792193295448e-05
it: 188, loss: 0.8196663464606208, stepsize: 1.2152792193295448e-05
it: 189, loss: 0.8196663464606208, stepsize: 1.0937512973965904e-05
it: 190, loss: 0.8196663464606208, stepsize: 9.843761676569314e-06
it: 191, loss: 0.8196663464606208, stepsize: 8.859385508912383e-06
it: 192, loss: 0.8196663464606208, stepsize: 7.973446958021145e-06
it: 193, loss: 0.8196663464606208, stepsize: 7.17610226221903e-06
it: 194, loss: 0.8196663464606208, stepsize: 6.458492035997127e-06
it: 195, loss: 0.8196663464606208, stepsize: 5.812642832397415e-06
it: 196, loss: 0.8196663464606208, stepsize: 5.231378549157673e-06
it: 197, loss: 0.8196663464606208, stepsize: 4.708240694241906e-06
it: 198, loss: 0.8196663464606208, stepsize: 4.237416624817716e-06
it: 199, loss: 0.8196663464606208, stepsize: 3.813674962335944e-06
it: 200, loss: 0.8196663464606208, stepsize: 3.43230746610235e-06
it: 201, loss: 0.8196663464606208, stepsize: 3.089076719492115e-06
it: 202, loss: 0.8196663464606208, stepsize: 2.7801690475429034e-06
it: 203, loss: 0.8196663464606208, stepsize: 2.5021521427886133e-06
it: 204, loss: 0.8196663464606208, stepsize: 2.2519369285097517e-06
it: 205, loss: 0.8196663464606208, stepsize: 2.0267432356587767e-06
it: 206, loss: 0.8196663464606208, stepsize: 1.824068912092899e-06
it: 207, loss: 0.8196663464606208, stepsize: 1.6416620208836093e-06
it: 208, loss: 0.8196663464606208, stepsize: 1.4774958187952484e-06
it: 209, loss: 0.8196663464606208, stepsize: 1.3297462369157235e-06
it: 210, loss: 0.8196663464606208, stepsize: 1.1967716132241511e-06
it: 211, loss: 0.8196663464606208, stepsize: 1.0770944519017362e-06
it: 212, loss: 0.8196663464606208, stepsize: 9.693850067115625e-07
it: 213, loss: 0.8196663464606208, stepsize: 8.724465060404063e-07
it: 214, loss: 0.8196663464606208, stepsize: 7.852018554363657e-07
it: 215, loss: 0.8196663464606208, stepsize: 7.066816698927291e-07
it: 216, loss: 0.8196663464606208, stepsize: 6.360135029034562e-07
it: 217, loss: 0.8196663464606208, stepsize: 5.724121526131107e-07
it: 218, loss: 0.8196663464606208, stepsize: 5.151709373517996e-07
it: 219, loss: 0.8196663464606208, stepsize: 4.636538436166196e-07
it: 220, loss: 0.8196663464606208, stepsize: 4.172884592549577e-07
it: 221, loss: 0.8196663464606208, stepsize: 3.755596133294619e-07
it: 222, loss: 0.8196663464606208, stepsize: 3.380036519965157e-07
it: 223, loss: 0.8196660085198886, stepsize: 3.380036519965157e-07
it: 224, loss: 0.8196660085198886, stepsize: 3.042032867968642e-07
it: 225, loss: 0.8196660085198886, stepsize: 2.737829581171778e-07
it: 226, loss: 0.8196660085198886, stepsize: 2.4640466230546e-07
it: 227, loss: 0.8196660085198886, stepsize: 2.21764196074914e-07
it: 228, loss: 0.8196660085198886, stepsize: 1.995877764674226e-07
it: 229, loss: 0.8196660085198886, stepsize: 1.7962899882068034e-07
it: 230, loss: 0.8196660085198886, stepsize: 1.6166609893861232e-07
it: 231, loss: 0.8196660085198886, stepsize: 1.4549948904475108e-07
it: 232, loss: 0.8196660085198886, stepsize: 1.3094954014027598e-07
it: 233, loss: 0.8196660085198886, stepsize: 1.178545861262484e-07
it: 234, loss: 0.8196660085198886, stepsize: 1.0606912751362355e-07
it: 235, loss: 0.8196659669341919, stepsize: 1.0606912751362355e-07
it: 236, loss: 0.8196659669341919, stepsize: 9.54622147622612e-08
it: 237, loss: 0.8196659669341919, stepsize: 8.591599328603509e-08
it: 238, loss: 0.8196659669341919, stepsize: 7.732439395743158e-08
it: 239, loss: 0.8196659669341919, stepsize: 6.959195456168842e-08
it: 240, loss: 0.8196659669341919, stepsize: 6.263275910551958e-08
it: 241, loss: 0.8196659669341919, stepsize: 5.636948319496762e-08
it: 242, loss: 0.8196659669341919, stepsize: 5.073253487547086e-08
it: 243, loss: 0.8196659669341919, stepsize: 4.565928138792378e-08
it: 244, loss: 0.8196659657026151, stepsize: 4.565928138792378e-08
it: 245, loss: 0.8196659657026151, stepsize: 4.10933532491314e-08
it: 246, loss: 0.8196659657026151, stepsize: 3.698401792421826e-08
it: 247, loss: 0.8196659657026151, stepsize: 3.3285616131796435e-08
it: 248, loss: 0.8196659657026151, stepsize: 2.995705451861679e-08
it: 249, loss: 0.8196659657026151, stepsize: 2.6961349066755114e-08
it: 250, loss: 0.8196659657026151, stepsize: 2.4265214160079603e-08
it: 251, loss: 0.8196659657026151, stepsize: 2.1838692744071645e-08
it: 252, loss: 0.8196659657026151, stepsize: 1.965482346966448e-08
it: 253, loss: 0.8196659657026151, stepsize: 1.7689341122698033e-08
it: 254, loss: 0.8196659657026151, stepsize: 1.592040701042823e-08
it: 255, loss: 0.8196659657026151, stepsize: 1.4328366309385407e-08
it: 256, loss: 0.8196659657026151, stepsize: 1.2895529678446867e-08
it: 257, loss: 0.8196659657026151, stepsize: 1.160597671060218e-08
it: 258, loss: 0.8196659657026151, stepsize: 1.0445379039541962e-08
it: 259, loss: 0.8196659657026151, stepsize: 9.400841135587767e-09
it: 260, loss: 0.8196659657026151, stepsize: 8.46075702202899e-09
it: 261, loss: 0.8196659657026151, stepsize: 7.614681319826092e-09
it: 262, loss: 0.8196659657026151, stepsize: 6.853213187843482e-09
it: 263, loss: 0.8196659657026151, stepsize: 6.167891869059134e-09
it: 264, loss: 0.8196659657026151, stepsize: 5.551102682153221e-09
it: 265, loss: 0.8196659657026151, stepsize: 4.995992413937899e-09
it: 266, loss: 0.819665961100885, stepsize: 4.995992413937899e-09
it: 267, loss: 0.8196659591982782, stepsize: 4.995992413937899e-09
it: 268, loss: 0.8196659591982782, stepsize: 4.496393172544109e-09
it: 269, loss: 0.8196659591982782, stepsize: 4.046753855289698e-09
it: 270, loss: 0.8196659591982782, stepsize: 3.6420784697607284e-09
it: 271, loss: 0.8196659586130486, stepsize: 3.6420784697607284e-09
it: 272, loss: 0.8196659586130486, stepsize: 3.277870622784656e-09
it: 273, loss: 0.8196659586130486, stepsize: 2.9500835605061902e-09
it: 274, loss: 0.8196659586130486, stepsize: 2.655075204455571e-09
it: 275, loss: 0.8196659584844539, stepsize: 2.655075204455571e-09
it: 276, loss: 0.8196659584844539, stepsize: 2.389567684010014e-09
it: 277, loss: 0.8196659584844539, stepsize: 2.150610915609013e-09
it: 278, loss: 0.8196659584844539, stepsize: 1.9355498240481115e-09
it: 279, loss: 0.8196659584844539, stepsize: 1.7419948416433005e-09
it: 280, loss: 0.8196659584844539, stepsize: 1.5677953574789705e-09
it: 281, loss: 0.8196659584844539, stepsize: 1.4110158217310735e-09
it: 282, loss: 0.8196659584844539, stepsize: 1.2699142395579661e-09
it: 283, loss: 0.8196659584844539, stepsize: 1.1429228156021695e-09
it: 284, loss: 0.8196659584844539, stepsize: 1.0286305340419526e-09
it: 285, loss: 0.8196659584844539, stepsize: 9.257674806377574e-10
it: 286, loss: 0.8196659584844539, stepsize: 8.331907325739817e-10
it: 287, loss: 0.8196659584844539, stepsize: 7.498716593165836e-10
it: 288, loss: 0.8196659584844539, stepsize: 6.748844933849252e-10
it: 289, loss: 0.8196659584844539, stepsize: 6.073960440464327e-10
