2019-05-19 18:19:44
sign_sgd_majority_two-point_log-reg_fix-step_20_5,0_1
it: 0, loss: 33714.65929296417, stepsize: 5.0
it: 1, loss: 29664.447575508937, stepsize: 5.0
it: 2, loss: 25940.231532576534, stepsize: 5.0
it: 3, loss: 22540.264554140533, stepsize: 5.0
it: 4, loss: 19454.168969463717, stepsize: 5.0
it: 5, loss: 16600.76096954482, stepsize: 5.0
it: 6, loss: 14061.498440405127, stepsize: 5.0
it: 7, loss: 11734.85919234526, stepsize: 5.0
it: 8, loss: 9663.966783891385, stepsize: 5.0
it: 9, loss: 7787.419625330369, stepsize: 5.0
it: 10, loss: 6170.189160103011, stepsize: 5.0
it: 11, loss: 4740.15870209796, stepsize: 5.0
it: 12, loss: 3569.3666039479203, stepsize: 5.0
it: 13, loss: 2583.4855769584856, stepsize: 5.0
it: 14, loss: 1789.8408466321787, stepsize: 5.0
it: 15, loss: 1153.958665061563, stepsize: 5.0
it: 16, loss: 711.4815697814719, stepsize: 5.0
it: 17, loss: 407.0225933074847, stepsize: 5.0
it: 18, loss: 181.04202464748403, stepsize: 5.0
it: 19, loss: 79.93979687929289, stepsize: 5.0
it: 20, loss: 45.35295135567761, stepsize: 5.0
it: 21, loss: 45.35295135567761, stepsize: 4.5
it: 22, loss: 45.35295135567761, stepsize: 4.050000000000001
it: 23, loss: 45.35295135567761, stepsize: 3.6450000000000005
it: 24, loss: 35.40623438761079, stepsize: 3.6450000000000005
it: 25, loss: 32.83862159889355, stepsize: 3.6450000000000005
it: 26, loss: 32.83862159889355, stepsize: 3.2805
it: 27, loss: 26.072291375082454, stepsize: 3.2805
it: 28, loss: 26.072291375082454, stepsize: 2.9524500000000002
it: 29, loss: 23.401809024500857, stepsize: 2.9524500000000002
it: 30, loss: 23.401809024500857, stepsize: 2.6572050000000003
it: 31, loss: 18.69525235785396, stepsize: 2.6572050000000003
it: 32, loss: 18.69525235785396, stepsize: 2.3914845000000002
it: 33, loss: 17.598437454847932, stepsize: 2.3914845000000002
it: 34, loss: 17.598437454847932, stepsize: 2.1523360500000006
it: 35, loss: 13.64309635203897, stepsize: 2.1523360500000006
it: 36, loss: 13.64309635203897, stepsize: 1.9371024450000005
it: 37, loss: 13.374748667492906, stepsize: 1.9371024450000005
it: 38, loss: 11.828591080017619, stepsize: 1.9371024450000005
it: 39, loss: 11.828591080017619, stepsize: 1.7433922005000004
it: 40, loss: 10.009635181734817, stepsize: 1.7433922005000004
it: 41, loss: 10.009635181734817, stepsize: 1.5690529804500004
it: 42, loss: 10.009635181734817, stepsize: 1.4121476824050005
it: 43, loss: 7.430649373950213, stepsize: 1.4121476824050005
it: 44, loss: 6.198849054382192, stepsize: 1.4121476824050005
it: 45, loss: 6.198849054382192, stepsize: 1.2709329141645003
it: 46, loss: 6.198849054382192, stepsize: 1.1438396227480505
it: 47, loss: 5.250896397031045, stepsize: 1.1438396227480505
it: 48, loss: 5.250896397031045, stepsize: 1.0294556604732454
it: 49, loss: 5.250896397031045, stepsize: 0.9265100944259208
it: 50, loss: 3.676363567502935, stepsize: 0.9265100944259208
it: 51, loss: 3.676363567502935, stepsize: 0.8338590849833288
it: 52, loss: 2.3522712162643717, stepsize: 0.8338590849833288
it: 53, loss: 2.3522712162643717, stepsize: 0.7504731764849959
it: 54, loss: 2.3522712162643717, stepsize: 0.6754258588364964
it: 55, loss: 2.3522712162643717, stepsize: 0.6078832729528467
it: 56, loss: 2.0936872133338094, stepsize: 0.6078832729528467
it: 57, loss: 1.6566084405404042, stepsize: 0.6078832729528467
it: 58, loss: 1.6566084405404042, stepsize: 0.5470949456575621
it: 59, loss: 1.6566084405404042, stepsize: 0.49238545109180587
it: 60, loss: 1.4119432371482055, stepsize: 0.49238545109180587
it: 61, loss: 1.4119432371482055, stepsize: 0.44314690598262535
it: 62, loss: 1.4119432371482055, stepsize: 0.39883221538436275
it: 63, loss: 1.2566059630330617, stepsize: 0.39883221538436275
it: 64, loss: 1.2566059630330617, stepsize: 0.3589489938459265
it: 65, loss: 1.2566059630330617, stepsize: 0.3230540944613339
it: 66, loss: 1.1646843142060734, stepsize: 0.3230540944613339
it: 67, loss: 1.1646843142060734, stepsize: 0.29074868501520046
it: 68, loss: 1.106875916976073, stepsize: 0.29074868501520046
it: 69, loss: 1.106875916976073, stepsize: 0.2616738165136805
it: 70, loss: 1.106875916976073, stepsize: 0.23550643486231243
it: 71, loss: 1.106875916976073, stepsize: 0.21195579137608117
it: 72, loss: 1.106875916976073, stepsize: 0.19076021223847306
it: 73, loss: 1.106875916976073, stepsize: 0.17168419101462576
it: 74, loss: 1.106875916976073, stepsize: 0.15451577191316318
it: 75, loss: 0.9491584475682777, stepsize: 0.15451577191316318
it: 76, loss: 0.9491584475682777, stepsize: 0.13906419472184686
it: 77, loss: 0.9452329126277684, stepsize: 0.13906419472184686
it: 78, loss: 0.8666445605661119, stepsize: 0.13906419472184686
it: 79, loss: 0.8666445605661119, stepsize: 0.12515777524966218
it: 80, loss: 0.8666445605661119, stepsize: 0.11264199772469598
it: 81, loss: 0.8666445605661119, stepsize: 0.10137779795222637
it: 82, loss: 0.8666445605661119, stepsize: 0.09124001815700375
it: 83, loss: 0.8666445605661119, stepsize: 0.08211601634130337
it: 84, loss: 0.8666445605661119, stepsize: 0.07390441470717304
it: 85, loss: 0.8619047443034878, stepsize: 0.07390441470717304
it: 86, loss: 0.8619047443034878, stepsize: 0.06651397323645573
it: 87, loss: 0.8619047443034878, stepsize: 0.05986257591281016
it: 88, loss: 0.8619047443034878, stepsize: 0.05387631832152914
it: 89, loss: 0.8619047443034878, stepsize: 0.04848868648937624
it: 90, loss: 0.8619047443034878, stepsize: 0.04363981784043861
it: 91, loss: 0.8619047443034878, stepsize: 0.03927583605639475
it: 92, loss: 0.8619047443034878, stepsize: 0.03534825245075528
it: 93, loss: 0.8619047443034878, stepsize: 0.03181342720567975
it: 94, loss: 0.8619047443034878, stepsize: 0.028632084485111772
it: 95, loss: 0.8619047443034878, stepsize: 0.025768876036600597
it: 96, loss: 0.8601384929119705, stepsize: 0.025768876036600597
it: 97, loss: 0.8601384929119705, stepsize: 0.02319198843294054
it: 98, loss: 0.8601384929119705, stepsize: 0.020872789589646487
it: 99, loss: 0.8601384929119705, stepsize: 0.01878551063068184
it: 100, loss: 0.8601384929119705, stepsize: 0.016906959567613653
it: 101, loss: 0.8601384929119705, stepsize: 0.01521626361085229
it: 102, loss: 0.8601384929119705, stepsize: 0.01369463724976706
it: 103, loss: 0.8601384929119705, stepsize: 0.012325173524790355
it: 104, loss: 0.8601384929119705, stepsize: 0.01109265617231132
it: 105, loss: 0.8601384929119705, stepsize: 0.009983390555080188
it: 106, loss: 0.8601384929119705, stepsize: 0.00898505149957217
it: 107, loss: 0.8601384929119705, stepsize: 0.008086546349614953
it: 108, loss: 0.8601384929119705, stepsize: 0.007277891714653458
it: 109, loss: 0.8601384929119705, stepsize: 0.006550102543188111
it: 110, loss: 0.8601384929119705, stepsize: 0.005895092288869301
it: 111, loss: 0.8601384929119705, stepsize: 0.005305583059982371
it: 112, loss: 0.8601384929119705, stepsize: 0.004775024753984134
it: 113, loss: 0.8601384929119705, stepsize: 0.00429752227858572
it: 114, loss: 0.8601384929119705, stepsize: 0.0038677700507271486
it: 115, loss: 0.8601384929119705, stepsize: 0.0034809930456544337
it: 116, loss: 0.8601384929119705, stepsize: 0.0031328937410889904
it: 117, loss: 0.8601384929119705, stepsize: 0.002819604366980092
it: 118, loss: 0.8601384929119705, stepsize: 0.0025376439302820823
