2019-05-19 15:09:42
sign_sgd_majority_one-point_log-reg_var-step_20_10,0_1
it: 100, loss: 30.52313643379502, stepsize: 1.0
it: 101, loss: 22.029742768097734, stepsize: 0.9950371902099892
it: 102, loss: 28.315121275992034, stepsize: 0.9901475429766744
it: 103, loss: 21.341859219698957, stepsize: 0.9853292781642932
it: 104, loss: 30.195980722036815, stepsize: 0.9805806756909202
it: 105, loss: 21.34505176586275, stepsize: 0.9759000729485332
it: 106, loss: 28.64251829214508, stepsize: 0.9712858623572641
it: 107, loss: 21.213773412094106, stepsize: 0.9667364890456636
it: 108, loss: 28.190928176640735, stepsize: 0.9622504486493763
it: 109, loss: 25.402942101912497, stepsize: 0.9578262852211513
it: 110, loss: 26.84281733536171, stepsize: 0.9534625892455924
it: 111, loss: 20.13493748614755, stepsize: 0.949157995752499
it: 112, loss: 27.831455067931813, stepsize: 0.944911182523068
it: 113, loss: 20.65130498152334, stepsize: 0.9407208683835973
it: 114, loss: 27.887313209200002, stepsize: 0.936585811581694
it: 115, loss: 23.246558547505586, stepsize: 0.9325048082403138
it: 116, loss: 25.30952817621613, stepsize: 0.9284766908852594
it: 117, loss: 19.24286233338641, stepsize: 0.9245003270420484
it: 118, loss: 26.836944418137755, stepsize: 0.9205746178983234
it: 119, loss: 18.78806324876474, stepsize: 0.9166984970282114
it: 120, loss: 27.09280547115826, stepsize: 0.9128709291752769
it: 121, loss: 18.933214492520822, stepsize: 0.9090909090909091
it: 122, loss: 29.69948381406458, stepsize: 0.9053574604251853
it: 123, loss: 18.70602134585206, stepsize: 0.9016696346674322
it: 124, loss: 25.35971841426964, stepsize: 0.8980265101338746
it: 125, loss: 18.095241832392865, stepsize: 0.8944271909999159
it: 126, loss: 25.736040760855275, stepsize: 0.8908708063747479
it: 127, loss: 24.22099635613118, stepsize: 0.8873565094161139
it: 128, loss: 24.196081200129424, stepsize: 0.8838834764831843
it: 129, loss: 17.589817139764524, stepsize: 0.8804509063256238
it: 130, loss: 23.214735390055502, stepsize: 0.8770580193070293
it: 131, loss: 17.699720419316762, stepsize: 0.8737040566610379
it: 132, loss: 23.343041938021432, stepsize: 0.8703882797784892
it: 133, loss: 17.12595578575486, stepsize: 0.8671099695241199
it: 134, loss: 23.108878591003087, stepsize: 0.8638684255813601
it: 135, loss: 17.06977330981871, stepsize: 0.8606629658238705
it: 136, loss: 22.439200893981344, stepsize: 0.8574929257125441
it: 137, loss: 16.685160536656937, stepsize: 0.8543576577167609
it: 138, loss: 23.068522809372578, stepsize: 0.8512565307587486
it: 139, loss: 22.670784045221538, stepsize: 0.848188929679971
it: 140, loss: 22.44276889749303, stepsize: 0.8451542547285166
it: 141, loss: 16.834235742158896, stepsize: 0.8421519210665189
it: 142, loss: 21.90921289347075, stepsize: 0.8391813582966892
it: 143, loss: 16.464764694132562, stepsize: 0.8362420100070908
it: 144, loss: 22.309985923466847, stepsize: 0.8333333333333334
it: 145, loss: 16.90022790620614, stepsize: 0.8304547985373997
it: 146, loss: 20.622142175489028, stepsize: 0.827605888602368
it: 147, loss: 15.354290831865017, stepsize: 0.8247860988423226
it: 148, loss: 21.11632737971209, stepsize: 0.8219949365267865
it: 149, loss: 15.624032143063483, stepsize: 0.8192319205190405
it: 150, loss: 20.91330767781836, stepsize: 0.816496580927726
it: 151, loss: 17.493307594641863, stepsize: 0.8137884587711595
it: 152, loss: 19.684103260920825, stepsize: 0.8111071056538127
it: 153, loss: 15.108009690923147, stepsize: 0.8084520834544433
it: 154, loss: 21.57215910840243, stepsize: 0.8058229640253802
it: 155, loss: 14.686388202081218, stepsize: 0.8032193289024988
it: 156, loss: 20.811895073157057, stepsize: 0.8006407690254357
it: 157, loss: 23.11839361731541, stepsize: 0.7980868844676221
it: 158, loss: 21.568468239567725, stepsize: 0.79555728417573
it: 159, loss: 15.390506399177475, stepsize: 0.7930515857181442
it: 160, loss: 19.74294029946867, stepsize: 0.7905694150420948
it: 161, loss: 14.433272895043208, stepsize: 0.7881104062391007
it: 162, loss: 19.105431190544344, stepsize: 0.7856742013183862
it: 163, loss: 13.99253562666864, stepsize: 0.7832604499879574
it: 164, loss: 19.20290340803616, stepsize: 0.7808688094430304
it: 165, loss: 14.394836733546388, stepsize: 0.778498944161523
