2019-05-19 18:18:50
sign_sgd_majority_one-point_log-reg_fix-step_20_2,0_1
it: 0, loss: 33714.65929296417, stepsize: 2.0
it: 1, loss: 32052.559230209885, stepsize: 2.0
it: 2, loss: 30446.47762848437, stepsize: 2.0
it: 3, loss: 28890.75410775023, stepsize: 2.0
it: 4, loss: 27388.715345756762, stepsize: 2.0
it: 5, loss: 25937.041450134246, stepsize: 2.0
it: 6, loss: 24539.04661461245, stepsize: 2.0
it: 7, loss: 23191.434307512714, stepsize: 2.0
it: 8, loss: 21896.611925600744, stepsize: 2.0
it: 9, loss: 20639.605768591187, stepsize: 2.0
it: 10, loss: 19432.786639580583, stepsize: 2.0
it: 11, loss: 18263.790409173333, stepsize: 2.0
it: 12, loss: 17144.99124419388, stepsize: 2.0
it: 13, loss: 16064.043069412655, stepsize: 2.0
it: 14, loss: 15033.287509259382, stepsize: 2.0
it: 15, loss: 14037.675666968451, stepsize: 2.0
it: 16, loss: 13086.900794157997, stepsize: 2.0
it: 17, loss: 12170.664304416036, stepsize: 2.0
it: 18, loss: 11291.910884540855, stepsize: 2.0
it: 19, loss: 10447.67514990312, stepsize: 2.0
it: 20, loss: 9640.941991870042, stepsize: 2.0
it: 21, loss: 8868.710079151493, stepsize: 2.0
it: 22, loss: 8133.993018720601, stepsize: 2.0
it: 23, loss: 7433.771000003973, stepsize: 2.0
it: 24, loss: 6771.062625196637, stepsize: 2.0
it: 25, loss: 6142.859712931856, stepsize: 2.0
it: 26, loss: 5552.162984475854, stepsize: 2.0
it: 27, loss: 4995.994974619027, stepsize: 2.0
it: 28, loss: 4477.319801755123, stepsize: 2.0
it: 29, loss: 3993.171663836812, stepsize: 2.0
it: 30, loss: 3546.5311916148403, stepsize: 2.0
it: 31, loss: 3130.477715214274, stepsize: 2.0
it: 32, loss: 2747.860485568883, stepsize: 2.0
it: 33, loss: 2390.646893794765, stepsize: 2.0
it: 34, loss: 2064.067711873472, stepsize: 2.0
it: 35, loss: 1762.9156880845012, stepsize: 2.0
it: 36, loss: 1492.4034506878045, stepsize: 2.0
it: 37, loss: 1247.4074030183883, stepsize: 2.0
it: 38, loss: 1033.0137111070856, stepsize: 2.0
it: 39, loss: 844.2953698032827, stepsize: 2.0
it: 40, loss: 686.108068350104, stepsize: 2.0
it: 41, loss: 545.0097095807422, stepsize: 2.0
it: 42, loss: 425.8851152676249, stepsize: 2.0
it: 43, loss: 318.0372894487202, stepsize: 2.0
it: 44, loss: 229.67930557404958, stepsize: 2.0
it: 45, loss: 152.55439982357734, stepsize: 2.0
it: 46, loss: 97.55419243893787, stepsize: 2.0
it: 47, loss: 52.44563765168064, stepsize: 2.0
it: 48, loss: 29.65417195204419, stepsize: 2.0
it: 49, loss: 9.859495819678102, stepsize: 2.0
it: 50, loss: 11.155819175175184, stepsize: 1.8
it: 51, loss: 7.308248809150967, stepsize: 1.8
it: 52, loss: 11.069987931875392, stepsize: 1.62
it: 53, loss: 8.222581751156325, stepsize: 1.62
it: 54, loss: 9.402814620477832, stepsize: 1.4580000000000002
it: 55, loss: 4.091363363578607, stepsize: 1.4580000000000002
it: 56, loss: 9.188008877005299, stepsize: 1.3122
it: 57, loss: 4.092191327813553, stepsize: 1.3122
it: 58, loss: 7.783162657998579, stepsize: 1.1809800000000001
it: 59, loss: 2.463319526177818, stepsize: 1.1809800000000001
it: 60, loss: 9.08267122995901, stepsize: 1.062882
it: 61, loss: 2.151197591972052, stepsize: 1.062882
it: 62, loss: 5.923543408342853, stepsize: 0.9565938000000002
it: 63, loss: 1.62363964925858, stepsize: 0.9565938000000002
it: 64, loss: 5.668788677644085, stepsize: 0.8609344200000002
it: 65, loss: 1.3387686642930947, stepsize: 0.8609344200000002
it: 66, loss: 5.738432847157776, stepsize: 0.7748409780000002
it: 67, loss: 6.179461435544744, stepsize: 0.6973568802000002
it: 68, loss: 4.415473856505757, stepsize: 0.6973568802000002
it: 69, loss: 1.1248929067083264, stepsize: 0.6973568802000002
it: 70, loss: 3.402905587566177, stepsize: 0.6276211921800001
it: 71, loss: 1.824823241868296, stepsize: 0.6276211921800001
it: 72, loss: 4.022831621432898, stepsize: 0.5648590729620002
it: 73, loss: 2.255885466756121, stepsize: 0.5648590729620002
it: 74, loss: 2.1817688174772836, stepsize: 0.5648590729620002
it: 75, loss: 1.2756101159384192, stepsize: 0.5648590729620002
it: 76, loss: 3.0688067681732765, stepsize: 0.5083731656658002
it: 77, loss: 2.1811022756726444, stepsize: 0.5083731656658002
it: 78, loss: 2.9111124689413903, stepsize: 0.4575358490992202
it: 79, loss: 2.7118418497255514, stepsize: 0.4575358490992202
it: 80, loss: 1.6605904981208768, stepsize: 0.4575358490992202
it: 81, loss: 1.6267630770122712, stepsize: 0.4575358490992202
it: 82, loss: 2.276090242099044, stepsize: 0.41178226418929814
it: 83, loss: 2.124143674782367, stepsize: 0.41178226418929814
it: 84, loss: 1.3947927523094692, stepsize: 0.41178226418929814
it: 85, loss: 1.550766673686962, stepsize: 0.3706040377703683
it: 86, loss: 3.5411473923162173, stepsize: 0.33354363399333153
it: 87, loss: 2.665375417495241, stepsize: 0.33354363399333153
it: 88, loss: 1.5229407420190288, stepsize: 0.33354363399333153
it: 89, loss: 2.2050249991814965, stepsize: 0.30018927059399836
it: 90, loss: 1.282036396309724, stepsize: 0.30018927059399836
it: 91, loss: 2.491012801677374, stepsize: 0.27017034353459857
it: 92, loss: 1.2826284689490555, stepsize: 0.27017034353459857
it: 93, loss: 0.8455653557124836, stepsize: 0.27017034353459857
it: 94, loss: 1.7444519795167142, stepsize: 0.2431533091811387
it: 95, loss: 0.9219415333188323, stepsize: 0.2431533091811387
it: 96, loss: 1.591002417007389, stepsize: 0.21883797826302484
it: 97, loss: 0.9451590734897346, stepsize: 0.21883797826302484
it: 98, loss: 0.8524728354541047, stepsize: 0.21883797826302484
it: 99, loss: 1.1659565533279528, stepsize: 0.19695418043672236
it: 100, loss: 1.2453810641914624, stepsize: 0.17725876239305013
it: 101, loss: 0.9957989351431674, stepsize: 0.17725876239305013
it: 102, loss: 1.1697682743234692, stepsize: 0.1595328861537451
it: 103, loss: 0.9674615181347005, stepsize: 0.1595328861537451
it: 104, loss: 1.1455425400682455, stepsize: 0.1435795975383706
it: 105, loss: 0.9851737517961328, stepsize: 0.1435795975383706
it: 106, loss: 1.3994643166879404, stepsize: 0.12922163778453355
it: 107, loss: 1.107796360868484, stepsize: 0.12922163778453355
it: 108, loss: 1.2316027377779497, stepsize: 0.11629947400608019
it: 109, loss: 1.5466266562335715, stepsize: 0.10466952660547219
it: 110, loss: 1.8196797988368203, stepsize: 0.09420257394492497
it: 111, loss: 1.3455869542656989, stepsize: 0.09420257394492497
it: 112, loss: 1.5495065851135843, stepsize: 0.08478231655043247
it: 113, loss: 1.2008203808347326, stepsize: 0.08478231655043247
it: 114, loss: 1.5516016268973916, stepsize: 0.07630408489538923
it: 115, loss: 1.667469355755934, stepsize: 0.0686736764058503
it: 116, loss: 1.6823633414052583, stepsize: 0.06180630876526527
it: 117, loss: 1.4025384094024125, stepsize: 0.06180630876526527
it: 118, loss: 1.6809233032576882, stepsize: 0.05562567788873875
it: 119, loss: 1.7236022046670616, stepsize: 0.050063110099864874
it: 120, loss: 1.8739386106517069, stepsize: 0.04505679908987839
it: 121, loss: 1.899051408881978, stepsize: 0.04055111918089055
it: 122, loss: 2.0627179827032798, stepsize: 0.0364960072628015
it: 123, loss: 2.2331145081810235, stepsize: 0.03284640653652135
it: 124, loss: 2.1840606493163, stepsize: 0.03284640653652135
it: 125, loss: 2.2763488870125768, stepsize: 0.029561765882869215
it: 126, loss: 2.398766609446297, stepsize: 0.02660558929458229
it: 127, loss: 2.3234889618157517, stepsize: 0.02660558929458229
it: 128, loss: 2.1784682637101964, stepsize: 0.02660558929458229
it: 129, loss: 2.0344796558031337, stepsize: 0.02660558929458229
it: 130, loss: 1.9940893071196664, stepsize: 0.02660558929458229
it: 131, loss: 2.0977816624245156, stepsize: 0.023945030365124065
it: 132, loss: 2.210348682872425, stepsize: 0.02155052732861166
it: 133, loss: 2.327226653344471, stepsize: 0.019395474595750493
it: 134, loss: 2.405178061467439, stepsize: 0.017455927136175445
it: 135, loss: 2.4576332740277573, stepsize: 0.0157103344225579
it: 136, loss: 2.54186674633475, stepsize: 0.01413930098030211
it: 137, loss: 2.6086097389472522, stepsize: 0.0127253708822719
it: 138, loss: 2.5321893238812896, stepsize: 0.0127253708822719
it: 139, loss: 2.457747237509274, stepsize: 0.0127253708822719
it: 140, loss: 2.530943932053479, stepsize: 0.01145283379404471
it: 141, loss: 2.5352888066969066, stepsize: 0.01030755041464024
it: 142, loss: 2.4832783707941624, stepsize: 0.01030755041464024
it: 143, loss: 2.4248571984346516, stepsize: 0.01030755041464024
it: 144, loss: 2.4807390126008793, stepsize: 0.009276795373176216
it: 145, loss: 2.5096277004874574, stepsize: 0.008349115835858595
it: 146, loss: 2.559092013249995, stepsize: 0.007514204252272735
it: 147, loss: 2.5784863325839016, stepsize: 0.006762783827045461
it: 148, loss: 2.5389436463256123, stepsize: 0.006762783827045461
it: 149, loss: 2.578642711837788, stepsize: 0.0060865054443409155
it: 150, loss: 2.584090627155229, stepsize: 0.005477854899906824
it: 151, loss: 2.5518163836519956, stepsize: 0.005477854899906824
it: 152, loss: 2.5554698658432207, stepsize: 0.004930069409916142
it: 153, loss: 2.584151051233377, stepsize: 0.004437062468924528
it: 154, loss: 2.567624701863774, stepsize: 0.004437062468924528
it: 155, loss: 2.5722226349105908, stepsize: 0.003993356222032075
it: 156, loss: 2.5502066302444923, stepsize: 0.003993356222032075
it: 157, loss: 2.557767644754959, stepsize: 0.003594020599828868
it: 158, loss: 2.5602531344451247, stepsize: 0.003234618539845981
it: 159, loss: 2.5562170923575067, stepsize: 0.003234618539845981
it: 160, loss: 2.5379604083641425, stepsize: 0.003234618539845981
it: 161, loss: 2.5426033637641363, stepsize: 0.002911156685861383
it: 162, loss: 2.5594234510994056, stepsize: 0.0026200410172752446
it: 163, loss: 2.5676375795320183, stepsize: 0.0023580369155477205
it: 164, loss: 2.563208415733719, stepsize: 0.0023580369155477205
it: 165, loss: 2.575621416884622, stepsize: 0.002122233223992948
it: 166, loss: 2.5859184282219507, stepsize: 0.0019100099015936535
it: 167, loss: 2.5750050411141268, stepsize: 0.0019100099015936535
it: 168, loss: 2.5641340018430876, stepsize: 0.0019100099015936535
it: 169, loss: 2.5706121589590056, stepsize: 0.0017190089114342882
it: 170, loss: 2.5643986820429236, stepsize: 0.0017190089114342882
it: 171, loss: 2.5735116795044006, stepsize: 0.0015471080202908594
it: 172, loss: 2.5693738194597904, stepsize: 0.0015471080202908594
it: 173, loss: 2.5740511454464414, stepsize: 0.0013923972182617735
it: 174, loss: 2.5731014228378157, stepsize: 0.0013923972182617735
