2019-05-19 18:18:53
sign_sgd_majority_one-point_log-reg_fix-step_20_5,0_1
it: 0, loss: 33714.65929296417, stepsize: 5.0
it: 1, loss: 29664.447575508937, stepsize: 5.0
it: 2, loss: 25940.231532576534, stepsize: 5.0
it: 3, loss: 22540.264554140533, stepsize: 5.0
it: 4, loss: 19450.68690092159, stepsize: 5.0
it: 5, loss: 16600.76096954482, stepsize: 5.0
it: 6, loss: 14064.870602015515, stepsize: 5.0
it: 7, loss: 11734.85919234526, stepsize: 5.0
it: 8, loss: 9663.966783891385, stepsize: 5.0
it: 9, loss: 7787.419625330369, stepsize: 5.0
it: 10, loss: 6166.562855535483, stepsize: 5.0
it: 11, loss: 4740.15870209796, stepsize: 5.0
it: 12, loss: 3569.3666039479203, stepsize: 5.0
it: 13, loss: 2583.4855769584856, stepsize: 5.0
it: 14, loss: 1794.2416695735674, stepsize: 5.0
it: 15, loss: 1153.958665061563, stepsize: 5.0
it: 16, loss: 711.4815697814719, stepsize: 5.0
it: 17, loss: 407.0225933074847, stepsize: 5.0
it: 18, loss: 181.04202464748403, stepsize: 5.0
it: 19, loss: 79.93979687929289, stepsize: 5.0
it: 20, loss: 45.35295135567761, stepsize: 5.0
it: 21, loss: 79.93979687929289, stepsize: 4.5
it: 22, loss: 32.660647303298795, stepsize: 4.5
it: 23, loss: 75.67729189964889, stepsize: 4.050000000000001
it: 24, loss: 23.780507060206034, stepsize: 4.050000000000001
it: 25, loss: 69.29014421863664, stepsize: 3.6450000000000005
it: 26, loss: 17.706635038092056, stepsize: 3.6450000000000005
it: 27, loss: 59.08618571905293, stepsize: 3.2805
it: 28, loss: 13.295476134595573, stepsize: 3.2805
it: 29, loss: 53.76989044368696, stepsize: 2.9524500000000002
it: 30, loss: 10.401466268557293, stepsize: 2.9524500000000002
it: 31, loss: 43.40828677944988, stepsize: 2.6572050000000003
it: 32, loss: 8.478596528334501, stepsize: 2.6572050000000003
it: 33, loss: 43.263652700820785, stepsize: 2.3914845000000002
it: 34, loss: 7.420394966544336, stepsize: 2.3914845000000002
it: 35, loss: 32.53866756722246, stepsize: 2.1523360500000006
it: 36, loss: 4.686814952151138, stepsize: 2.1523360500000006
it: 37, loss: 25.055991110597642, stepsize: 1.9371024450000005
it: 38, loss: 3.6142911030464733, stepsize: 1.9371024450000005
it: 39, loss: 21.580477903285814, stepsize: 1.7433922005000004
it: 40, loss: 2.9578694594932746, stepsize: 1.7433922005000004
it: 41, loss: 17.453626042689876, stepsize: 1.5690529804500004
it: 42, loss: 2.2179783698072697, stepsize: 1.5690529804500004
it: 43, loss: 15.94601781568237, stepsize: 1.4121476824050005
it: 44, loss: 1.9351845184050722, stepsize: 1.4121476824050005
it: 45, loss: 12.676027188998, stepsize: 1.2709329141645003
it: 46, loss: 2.299310086979035, stepsize: 1.2709329141645003
it: 47, loss: 10.423174690779462, stepsize: 1.1438396227480505
it: 48, loss: 1.400196287615731, stepsize: 1.1438396227480505
it: 49, loss: 9.345675416311598, stepsize: 1.0294556604732454
it: 50, loss: 1.7288461252131877, stepsize: 1.0294556604732454
it: 51, loss: 7.076137571885921, stepsize: 0.9265100944259208
it: 52, loss: 1.0702838636745124, stepsize: 0.9265100944259208
it: 53, loss: 7.090391487579929, stepsize: 0.8338590849833288
it: 54, loss: 1.0736820519137058, stepsize: 0.8338590849833288
it: 55, loss: 6.581191128691717, stepsize: 0.7504731764849959
it: 56, loss: 1.1475682190561343, stepsize: 0.7504731764849959
it: 57, loss: 4.424920593422176, stepsize: 0.6754258588364964
it: 58, loss: 5.856834941483103, stepsize: 0.6078832729528467
it: 59, loss: 5.682253659350669, stepsize: 0.6078832729528467
it: 60, loss: 1.287568805738482, stepsize: 0.6078832729528467
it: 61, loss: 4.4396754058845715, stepsize: 0.5470949456575621
it: 62, loss: 4.3518026895627475, stepsize: 0.5470949456575621
it: 63, loss: 3.0506344278502633, stepsize: 0.5470949456575621
it: 64, loss: 2.0735971154192194, stepsize: 0.5470949456575621
it: 65, loss: 3.5244568361359523, stepsize: 0.49238545109180587
it: 66, loss: 1.4197441452868698, stepsize: 0.49238545109180587
it: 67, loss: 3.162070592795649, stepsize: 0.44314690598262535
it: 68, loss: 0.893258281308056, stepsize: 0.44314690598262535
it: 69, loss: 3.327467130082462, stepsize: 0.39883221538436275
it: 70, loss: 1.981416452609909, stepsize: 0.39883221538436275
it: 71, loss: 1.2194934514869584, stepsize: 0.39883221538436275
it: 72, loss: 2.23727843324081, stepsize: 0.3589489938459265
it: 73, loss: 3.2690002480526807, stepsize: 0.3230540944613339
it: 74, loss: 1.6292804700218377, stepsize: 0.3230540944613339
it: 75, loss: 1.070767093017443, stepsize: 0.3230540944613339
it: 76, loss: 1.1108701550143638, stepsize: 0.29074868501520046
it: 77, loss: 1.838814750447296, stepsize: 0.2616738165136805
it: 78, loss: 1.9644380445043543, stepsize: 0.23550643486231243
it: 79, loss: 1.3286187217485028, stepsize: 0.23550643486231243
it: 80, loss: 1.0212053426211742, stepsize: 0.23550643486231243
it: 81, loss: 1.7042402918425172, stepsize: 0.21195579137608117
it: 82, loss: 0.9325738985075485, stepsize: 0.21195579137608117
it: 83, loss: 1.3169725917099626, stepsize: 0.19076021223847306
it: 84, loss: 1.1479145323677136, stepsize: 0.19076021223847306
it: 85, loss: 1.8826204708183094, stepsize: 0.17168419101462576
it: 86, loss: 1.21506236947394, stepsize: 0.17168419101462576
it: 87, loss: 1.633649187980919, stepsize: 0.15451577191316318
it: 88, loss: 1.8551149866688963, stepsize: 0.13906419472184686
it: 89, loss: 1.2997727087311353, stepsize: 0.13906419472184686
it: 90, loss: 0.8820971442045638, stepsize: 0.13906419472184686
it: 91, loss: 0.886851022569187, stepsize: 0.12515777524966218
it: 92, loss: 0.998104661603601, stepsize: 0.11264199772469598
it: 93, loss: 1.0443601735973802, stepsize: 0.10137779795222637
it: 94, loss: 1.2089006265982598, stepsize: 0.09124001815700375
it: 95, loss: 1.3409024195869095, stepsize: 0.08211601634130337
it: 96, loss: 1.3702110697630372, stepsize: 0.07390441470717304
it: 97, loss: 1.4030763934738528, stepsize: 0.06651397323645573
it: 98, loss: 1.5689198770419615, stepsize: 0.05986257591281016
it: 99, loss: 1.3032619714559273, stepsize: 0.05986257591281016
it: 100, loss: 1.337090233047798, stepsize: 0.05387631832152914
it: 101, loss: 1.5382320657787585, stepsize: 0.04848868648937624
it: 102, loss: 1.5120398256913898, stepsize: 0.04848868648937624
it: 103, loss: 1.6559781214673581, stepsize: 0.04363981784043861
it: 104, loss: 1.49737046433812, stepsize: 0.04363981784043861
it: 105, loss: 1.3114514301308686, stepsize: 0.04363981784043861
it: 106, loss: 1.1568142862878332, stepsize: 0.04363981784043861
it: 107, loss: 1.0101745429388604, stepsize: 0.04363981784043861
it: 108, loss: 1.1568142862878332, stepsize: 0.03927583605639475
it: 109, loss: 1.2367379650933044, stepsize: 0.03534825245075528
it: 110, loss: 1.3232248291035142, stepsize: 0.03181342720567975
it: 111, loss: 1.462092560515197, stepsize: 0.028632084485111772
it: 112, loss: 1.5558882735654853, stepsize: 0.025768876036600597
it: 113, loss: 1.6876715188790194, stepsize: 0.02319198843294054
it: 114, loss: 1.738071343563813, stepsize: 0.020872789589646487
it: 115, loss: 1.8057924079095566, stepsize: 0.01878551063068184
it: 116, loss: 1.8645796486185686, stepsize: 0.016906959567613653
it: 117, loss: 1.9568956867935592, stepsize: 0.01521626361085229
it: 118, loss: 2.0155610170528035, stepsize: 0.01369463724976706
