2019-05-19 18:18:33
sign_sgd_majority_one-point_log-reg_var-step_20_10,0_1
it: 0, loss: 33714.65929296417, stepsize: 10.0
it: 1, loss: 25964.41601577366, stepsize: 10.0
it: 2, loss: 21224.51708580642, stepsize: 7.071067811865475
it: 3, loss: 17807.872416307328, stepsize: 5.773502691896258
it: 4, loss: 15113.177933472192, stepsize: 5.0
it: 5, loss: 12957.978304932605, stepsize: 4.47213595499958
it: 6, loss: 11126.545138955122, stepsize: 4.08248290463863
it: 7, loss: 9585.458808973444, stepsize: 3.779644730092272
it: 8, loss: 8241.125575945378, stepsize: 3.5355339059327373
it: 9, loss: 7092.342070383387, stepsize: 3.3333333333333335
it: 10, loss: 6083.066530281373, stepsize: 3.162277660168379
it: 11, loss: 5216.497506172367, stepsize: 3.015113445777636
it: 12, loss: 4450.727041480369, stepsize: 2.886751345948129
it: 13, loss: 3797.3284693526384, stepsize: 2.773500981126146
it: 14, loss: 3224.3543078484313, stepsize: 2.6726124191242437
it: 15, loss: 2726.7891108437607, stepsize: 2.581988897471611
it: 16, loss: 2286.2863361279274, stepsize: 2.5
it: 17, loss: 1904.8644496169466, stepsize: 2.42535625036333
it: 18, loss: 1570.6128751162112, stepsize: 2.3570226039551585
it: 19, loss: 1284.8124863385872, stepsize: 2.2941573387056176
it: 20, loss: 1038.3274434144316, stepsize: 2.23606797749979
it: 21, loss: 835.4289378663692, stepsize: 2.182178902359924
it: 22, loss: 668.5469057932421, stepsize: 2.1320071635561044
it: 23, loss: 526.542897517308, stepsize: 2.0851441405707476
it: 24, loss: 402.5420512601077, stepsize: 2.041241452319315
it: 25, loss: 300.39585834240944, stepsize: 2.0
it: 26, loss: 215.1596931884013, stepsize: 1.9611613513818404
it: 27, loss: 148.058651457711, stepsize: 1.9245008972987525
it: 28, loss: 93.57199198955429, stepsize: 1.889822365046136
it: 29, loss: 53.981085774545114, stepsize: 1.8569533817705188
it: 30, loss: 28.15011860712712, stepsize: 1.8257418583505538
it: 31, loss: 14.604876032093841, stepsize: 1.7960530202677492
