2019-05-19 18:27:32
sign_sgd_majority_one-point_log-reg_var-step_20_5,0_1
it: 99, loss: 82.12473672292546, stepsize: 0.502518907629606
it: 100, loss: 69.45659960793706, stepsize: 0.5
it: 101, loss: 57.78364219998183, stepsize: 0.4975185951049946
it: 102, loss: 48.42075812022252, stepsize: 0.4950737714883372
it: 103, loss: 42.726583186637754, stepsize: 0.4926646390821466
it: 104, loss: 34.69801822946428, stepsize: 0.4902903378454601
it: 105, loss: 28.074941796398804, stepsize: 0.4879500364742666
it: 106, loss: 22.934273661015446, stepsize: 0.48564293117863205
it: 107, loss: 16.526300385229746, stepsize: 0.4833682445228318
it: 108, loss: 11.563527552989173, stepsize: 0.4811252243246881
it: 109, loss: 9.673745093764403, stepsize: 0.47891314261057566
it: 110, loss: 8.077755179292302, stepsize: 0.4767312946227962
it: 111, loss: 3.7770440737637796, stepsize: 0.4745789978762495
it: 112, loss: 4.195136311186523, stepsize: 0.472455591261534
it: 113, loss: 4.672691968523568, stepsize: 0.4703604341917986
it: 114, loss: 1.5203365470964219, stepsize: 0.468292905790847
it: 115, loss: 4.543555205374967, stepsize: 0.4662524041201569
it: 116, loss: 4.802963883235892, stepsize: 0.4642383454426297
it: 117, loss: 2.161197041267126, stepsize: 0.4622501635210242
it: 118, loss: 2.9211884931528176, stepsize: 0.4602873089491617
it: 119, loss: 4.231023521506259, stepsize: 0.4583492485141057
it: 120, loss: 3.3070606299747305, stepsize: 0.45643546458763845
it: 121, loss: 1.6849880079471187, stepsize: 0.45454545454545453
it: 122, loss: 1.5313581697068437, stepsize: 0.45267873021259264
it: 123, loss: 1.2425441720104353, stepsize: 0.4508348173337161
it: 124, loss: 2.523975436657631, stepsize: 0.4490132550669373
it: 125, loss: 2.5003379882273213, stepsize: 0.4472135954999579
it: 126, loss: 2.688165076649342, stepsize: 0.44543540318737396
it: 127, loss: 1.2889419149934636, stepsize: 0.44367825470805694
it: 128, loss: 2.7102949858656515, stepsize: 0.44194173824159216
it: 129, loss: 1.263536176037733, stepsize: 0.4402254531628119
it: 130, loss: 1.963791462005584, stepsize: 0.43852900965351466
it: 131, loss: 1.286078421784038, stepsize: 0.43685202833051895
it: 132, loss: 1.3008170619260628, stepsize: 0.4351941398892446
it: 133, loss: 1.7295000937789209, stepsize: 0.43355498476205995
it: 134, loss: 1.6481395946851207, stepsize: 0.43193421279068006
it: 135, loss: 1.8036403371089746, stepsize: 0.43033148291193524
it: 136, loss: 1.64359179705312, stepsize: 0.42874646285627205
it: 137, loss: 3.1270311903181702, stepsize: 0.42717882885838043
it: 138, loss: 2.3581640475913863, stepsize: 0.4256282653793743
it: 139, loss: 1.3183366817835527, stepsize: 0.4240944648399855
it: 140, loss: 3.488472595590417, stepsize: 0.4225771273642583
it: 141, loss: 4.756360922602012, stepsize: 0.42107596053325946
it: 142, loss: 3.041617508894804, stepsize: 0.4195906791483446
it: 143, loss: 4.714406103770538, stepsize: 0.4181210050035454
it: 144, loss: 2.1545926298793034, stepsize: 0.4166666666666667
it: 145, loss: 2.4638655525264133, stepsize: 0.41522739926869984
it: 146, loss: 1.0645200288257521, stepsize: 0.413802944301184
it: 147, loss: 1.8183644150872076, stepsize: 0.4123930494211613
it: 148, loss: 1.464663486069019, stepsize: 0.41099746826339323
it: 149, loss: 2.073003690886277, stepsize: 0.40961596025952024
it: 150, loss: 1.8755603623004962, stepsize: 0.408248290463863
it: 151, loss: 4.087844287067851, stepsize: 0.40689422938557973
it: 152, loss: 1.4608921390693914, stepsize: 0.40555355282690636
it: 153, loss: 1.1633434372223777, stepsize: 0.40422604172722165
it: 154, loss: 2.119730635960398, stepsize: 0.4029114820126901
it: 155, loss: 1.4182425377303718, stepsize: 0.4016096644512494
it: 156, loss: 1.7843432774893075, stepsize: 0.40032038451271784
it: 157, loss: 2.1484095337220213, stepsize: 0.39904344223381105
it: 158, loss: 1.0530094193615835, stepsize: 0.397778642087865
it: 159, loss: 1.6620780549346064, stepsize: 0.3965257928590721
it: 160, loss: 0.9124737325985723, stepsize: 0.3952847075210474
it: 161, loss: 2.5353816478876876, stepsize: 0.39405520311955033
it: 162, loss: 0.9132167771353754, stepsize: 0.3928371006591931
it: 163, loss: 2.003326228717578, stepsize: 0.3916302249939787
it: 164, loss: 1.344134312163129, stepsize: 0.3904344047215152
it: 165, loss: 1.3006600519825067, stepsize: 0.3892494720807615
it: 166, loss: 0.9683113767432009, stepsize: 0.3880752628531664
it: 167, loss: 2.081414147964625, stepsize: 0.38691161626706844
it: 168, loss: 1.3171525135800468, stepsize: 0.38575837490522974
it: 169, loss: 1.6669397510758723, stepsize: 0.38461538461538464
it: 170, loss: 1.5081289866933414, stepsize: 0.3834824944236852
it: 171, loss: 1.2515512519363239, stepsize: 0.3823595564509363
it: 172, loss: 2.1035758603233736, stepsize: 0.3812464258315117
it: 173, loss: 1.9174543623749494, stepsize: 0.38014296063485276
it: 174, loss: 2.786414378664589, stepsize: 0.3790490217894517
it: 175, loss: 1.325547633991793, stepsize: 0.37796447300922725
it: 176, loss: 1.0118556772330904, stepsize: 0.3768891807222045
it: 177, loss: 1.56202355071354, stepsize: 0.37582301400141443
it: 178, loss: 2.536863564675503, stepsize: 0.3747658444979307
it: 179, loss: 1.1775071933454329, stepsize: 0.37371754637596794
it: 180, loss: 1.0828748666397638, stepsize: 0.37267799624996495
it: 181, loss: 1.4622666854926023, stepsize: 0.3716470731235832
it: 182, loss: 1.9550770383587452, stepsize: 0.3706246583305506
it: 183, loss: 1.3210456802076112, stepsize: 0.3696106354772864
it: 184, loss: 2.008280349139337, stepsize: 0.3686048903872428
it: 185, loss: 1.5018065911698892, stepsize: 0.36760731104690386
it: 186, loss: 1.7642582208417266, stepsize: 0.36661778755338326
it: 187, loss: 2.6771103340864575, stepsize: 0.36563621206356534
it: 188, loss: 3.779376493811912, stepsize: 0.3646624787447364
it: 189, loss: 3.098228876964844, stepsize: 0.363696483726654
it: 190, loss: 1.869926063855805, stepsize: 0.36273812505500586
it: 191, loss: 2.3736337833365884, stepsize: 0.36178730264621084
it: 192, loss: 1.3318847532061229, stepsize: 0.36084391824351614
it: 193, loss: 2.7483391084587963, stepsize: 0.35990787537434726
it: 194, loss: 1.3274685741312742, stepsize: 0.3589790793088691
it: 195, loss: 3.360602220053705, stepsize: 0.35805743701971643
it: 196, loss: 2.564625804994402, stepsize: 0.35714285714285715
it: 197, loss: 1.346443940048859, stepsize: 0.35623524993954825
it: 198, loss: 1.0529086873380782, stepsize: 0.3553345272593507
it: 199, loss: 2.4629856828476893, stepsize: 0.3544406025041679
it: 200, loss: 3.9625187291778206, stepsize: 0.35355339059327373
it: 201, loss: 3.361711497491764, stepsize: 0.3526728079292991
it: 202, loss: 2.94181754033813, stepsize: 0.35179877236514595
it: 203, loss: 1.7082071808719985, stepsize: 0.3509312031717982
it: 204, loss: 2.2647273108788046, stepsize: 0.3500700210070024
it: 205, loss: 4.756962121466303, stepsize: 0.3492151478847891
it: 206, loss: 3.2632652048572135, stepsize: 0.34836650714580886
it: 207, loss: 4.925276070934094, stepsize: 0.34752402342845795
it: 208, loss: 2.5939997204018335, stepsize: 0.34668762264076824
it: 209, loss: 1.1816114826974928, stepsize: 0.3458572319330373
it: 210, loss: 2.588342780410779, stepsize: 0.3450327796711771
it: 211, loss: 1.4842680995850657, stepsize: 0.34421419541075715
it: 212, loss: 1.7347667507426685, stepsize: 0.3434014098717226
it: 213, loss: 2.642379384088597, stepsize: 0.34259435491376583
it: 214, loss: 2.383621700407406, stepsize: 0.3417929635123316
it: 215, loss: 1.1206500332353122, stepsize: 0.34099716973523675
it: 216, loss: 2.2559944524527467, stepsize: 0.34020690871988585
it: 217, loss: 1.1265789384544143, stepsize: 0.33942211665106536
it: 218, loss: 2.39417917292928, stepsize: 0.3386427307392982
it: 219, loss: 2.169902332412929, stepsize: 0.33786868919974294
it: 220, loss: 2.2488392367209675, stepsize: 0.337099931231621
it: 221, loss: 1.1267612125753623, stepsize: 0.3363363969981562
it: 222, loss: 2.36331252626588, stepsize: 0.33557802760701216
it: 223, loss: 1.1270713213920782, stepsize: 0.3348247650912125
it: 224, loss: 0.8690491915492062, stepsize: 0.33407655239053047
it: 225, loss: 1.3679916992652263, stepsize: 0.3333333333333333
it: 226, loss: 1.8325109870130878, stepsize: 0.3325950526188697
it: 227, loss: 3.9381979219061702, stepsize: 0.331861655799986
it: 228, loss: 1.8353091214823865, stepsize: 0.33113308926626095
it: 229, loss: 3.571748099770064, stepsize: 0.3304093002275449
it: 230, loss: 3.715118739450089, stepsize: 0.3296902366978935
it: 231, loss: 4.348604136369202, stepsize: 0.3289758474798845
it: 232, loss: 2.142674896427806, stepsize: 0.32826608214930636
it: 233, loss: 1.0680904814351941, stepsize: 0.3275608910402092
it: 234, loss: 1.3534213534262856, stepsize: 0.3268602252303067
it: 235, loss: 2.2863440956853673, stepsize: 0.3261640365267211
it: 236, loss: 3.292922923459262, stepsize: 0.3254722774520597
it: 237, loss: 1.5859343363948217, stepsize: 0.32478490123081544
it: 238, loss: 0.8694041342493484, stepsize: 0.3241018617760822
it: 239, loss: 1.5324721728526696, stepsize: 0.32342311367657545
it: 240, loss: 1.3412938009068718, stepsize: 0.3227486121839514
it: 241, loss: 1.5110247177246174, stepsize: 0.3220783132004154
it: 242, loss: 1.3805283570691977, stepsize: 0.32141217326661253
it: 243, loss: 1.4746174729259693, stepsize: 0.3207501495497921
it: 244, loss: 0.866312444947405, stepsize: 0.32009219983223997
it: 245, loss: 1.3379460040325473, stepsize: 0.3194382824999699
it: 246, loss: 1.3046739323982064, stepsize: 0.31878835653166915
it: 247, loss: 1.6229497518542324, stepsize: 0.31814238148788887
it: 248, loss: 1.7464996931268089, stepsize: 0.31750031750047625
it: 249, loss: 3.0567245217063217, stepsize: 0.31686212526223895
it: 250, loss: 1.3084907636317444, stepsize: 0.31622776601683794
it: 251, loss: 1.0094708050453218, stepsize: 0.3155972015489016
it: 252, loss: 1.4948953606837838, stepsize: 0.314970394174356
it: 253, loss: 1.2415067647161349, stepsize: 0.3143473067309657
it: 254, loss: 1.4207581593410201, stepsize: 0.3137279025690793
it: 255, loss: 1.031191311803224, stepsize: 0.31311214554257477
it: 256, loss: 2.022084242281054, stepsize: 0.3125
it: 257, loss: 1.6026097324510697, stepsize: 0.31189143077590264
it: 258, loss: 1.8362334809170067, stepsize: 0.3112864031823452
it: 259, loss: 1.0419430035331343, stepsize: 0.31068488300060004
it: 260, loss: 1.546915323378434, stepsize: 0.31008683647302115
it: 261, loss: 2.410557911621603, stepsize: 0.3094922302950865
it: 262, loss: 2.326794610193974, stepsize: 0.30890103160760773
it: 263, loss: 2.675642727013848, stepsize: 0.30831320798910367
it: 264, loss: 3.552480429714045, stepsize: 0.3077287274483318
it: 265, loss: 2.6483565075929443, stepsize: 0.3071475584169756
it: 266, loss: 2.862113014307213, stepsize: 0.3065696697424829
it: 267, loss: 3.383753414201316, stepsize: 0.30599503068105227
it: 268, loss: 1.8404158168356979, stepsize: 0.30542361089076303
it: 269, loss: 3.1846435375128808, stepsize: 0.30485538042484617
it: 270, loss: 2.3267390298073987, stepsize: 0.3042903097250923
it: 271, loss: 3.638080535904928, stepsize: 0.30372836961539346
it: 272, loss: 3.4292584314489396, stepsize: 0.30316953129541624
it: 273, loss: 1.8188887395279156, stepsize: 0.30261376633440124
it: 274, loss: 1.7641600319783843, stepsize: 0.3020610466650885
it: 275, loss: 0.9681079512365653, stepsize: 0.3015113445777636
it: 276, loss: 1.832830859230026, stepsize: 0.300964632714423
it: 277, loss: 3.2188121873224125, stepsize: 0.30042088406305484
it: 278, loss: 2.404270670785418, stepsize: 0.2998800719520336
it: 279, loss: 2.9552336118156473, stepsize: 0.2993421700446248
it: 280, loss: 3.48442330296713, stepsize: 0.2988071523335984
it: 281, loss: 4.20479410117943, stepsize: 0.2982749931359468
it: 282, loss: 4.17806063509045, stepsize: 0.29774566708770683
it: 283, loss: 3.712631767780825, stepsize: 0.29721914913888203
it: 284, loss: 2.1759878028643778, stepsize: 0.2966954145484633
it: 285, loss: 1.0705906408132768, stepsize: 0.29617443887954614
it: 286, loss: 1.7687699559323573, stepsize: 0.2956561979945413
it: 287, loss: 3.473259530566037, stepsize: 0.2951406680504776
it: 288, loss: 1.8492975082848715, stepsize: 0.2946278254943948
it: 289, loss: 2.5363325515894557, stepsize: 0.29411764705882354
it: 290, loss: 2.400264714398193, stepsize: 0.29361010975735174
it: 291, loss: 3.2469926628494283, stepsize: 0.2931051908802746
it: 292, loss: 1.851341200903533, stepsize: 0.2926028679903264
it: 293, loss: 1.0729678721936566, stepsize: 0.292103118918493
it: 294, loss: 1.4141226766035855, stepsize: 0.29160592175990213
it: 295, loss: 0.9651256504151662, stepsize: 0.291111254869791
it: 296, loss: 1.2871108782985554, stepsize: 0.29061909685954823
it: 297, loss: 1.2266382695613705, stepsize: 0.29012942659282975
it: 298, loss: 1.8838025363643705, stepsize: 0.28964222318174615
it: 299, loss: 3.351857571108156, stepsize: 0.2891574659831201
it: 300, loss: 2.323299184787601, stepsize: 0.28867513459481287
it: 301, loss: 3.5205733447279286, stepsize: 0.28819520885211747
it: 302, loss: 3.289169597194597, stepsize: 0.287717668824218
it: 303, loss: 3.1682886609550076, stepsize: 0.287242494810713
it: 304, loss: 4.424127867200996, stepsize: 0.2867696673382022
it: 305, loss: 2.482131685781682, stepsize: 0.28629916715693415
it: 306, loss: 2.292982888464041, stepsize: 0.2858309752375147
