2019-05-19 18:19:26
sign_sgd_majority_two-point_log-reg_var-step_20_20,0_1
it: 0, loss: 33714.65929296417, stepsize: 20.0
it: 1, loss: 19615.020713566915, stepsize: 20.0
it: 2, loss: 12206.015854780067, stepsize: 14.14213562373095
it: 3, loss: 7636.12707560005, stepsize: 11.547005383792516
it: 4, loss: 4614.4336896395935, stepsize: 10.0
it: 5, loss: 2716.521010104016, stepsize: 8.94427190999916
it: 6, loss: 1456.3149348335241, stepsize: 8.16496580927726
it: 7, loss: 728.6113607818166, stepsize: 7.559289460184544
it: 8, loss: 360.13452647542493, stepsize: 7.071067811865475
it: 9, loss: 102.88150086330245, stepsize: 6.666666666666667
it: 10, loss: 102.88150086330245, stepsize: 6.324555320336758
it: 11, loss: 102.88150086330245, stepsize: 6.030226891555272
it: 12, loss: 97.98062334779208, stepsize: 5.773502691896258
it: 13, loss: 84.43955500687765, stepsize: 5.547001962252292
it: 14, loss: 84.43955500687765, stepsize: 5.3452248382484875
it: 15, loss: 81.78011605865241, stepsize: 5.163977794943222
it: 16, loss: 75.86343663156279, stepsize: 5.0
it: 17, loss: 75.7673903150249, stepsize: 4.85071250072666
it: 18, loss: 66.61459203535134, stepsize: 4.714045207910317
it: 19, loss: 66.61459203535134, stepsize: 4.588314677411235
it: 20, loss: 65.35874724354909, stepsize: 4.47213595499958
it: 21, loss: 62.66398072285165, stepsize: 4.364357804719848
it: 22, loss: 59.46112745306869, stepsize: 4.264014327112209
it: 23, loss: 53.186994010791636, stepsize: 4.170288281141495
it: 24, loss: 53.186994010791636, stepsize: 4.08248290463863
it: 25, loss: 52.54543991986898, stepsize: 4.0
it: 26, loss: 48.677851479145666, stepsize: 3.922322702763681
it: 27, loss: 48.677851479145666, stepsize: 3.849001794597505
it: 28, loss: 47.192591722520326, stepsize: 3.779644730092272
it: 29, loss: 44.11840280608822, stepsize: 3.7139067635410377
it: 30, loss: 44.11840280608822, stepsize: 3.6514837167011076
it: 31, loss: 43.66674545770856, stepsize: 3.5921060405354983
it: 32, loss: 40.24932008741598, stepsize: 3.5355339059327373
it: 33, loss: 40.24932008741598, stepsize: 3.481553119113957
it: 34, loss: 40.24932008741598, stepsize: 3.4299717028501764
it: 35, loss: 38.838614512363385, stepsize: 3.3806170189140663
it: 36, loss: 35.029712500865735, stepsize: 3.3333333333333335
it: 37, loss: 35.029712500865735, stepsize: 3.287979746107146
it: 38, loss: 35.029712500865735, stepsize: 3.244428422615251
it: 39, loss: 34.77901205779636, stepsize: 3.2025630761017427
it: 40, loss: 32.89438332091148, stepsize: 3.162277660168379
it: 41, loss: 32.89438332091148, stepsize: 3.1234752377721215
it: 42, loss: 32.89438332091148, stepsize: 3.086066999241838
it: 43, loss: 32.89438332091148, stepsize: 3.0499714066520935
it: 44, loss: 32.89438332091148, stepsize: 3.015113445777636
it: 45, loss: 32.35472742522078, stepsize: 2.9814239699997196
it: 46, loss: 26.768410627766926, stepsize: 2.9488391230979425
it: 47, loss: 26.768410627766926, stepsize: 2.917299829957891
it: 48, loss: 26.768410627766926, stepsize: 2.886751345948129
it: 49, loss: 26.768410627766926, stepsize: 2.857142857142857
it: 50, loss: 26.768410627766926, stepsize: 2.82842712474619
it: 51, loss: 26.215786286777547, stepsize: 2.8005601680560193
it: 52, loss: 26.215786286777547, stepsize: 2.773500981126146
it: 53, loss: 26.215786286777547, stepsize: 2.7472112789737806
it: 54, loss: 25.46169009216906, stepsize: 2.721655269759087
it: 55, loss: 25.46169009216906, stepsize: 2.696799449852968
it: 56, loss: 25.46169009216906, stepsize: 2.6726124191242437
it: 57, loss: 25.148912742998586, stepsize: 2.6490647141300876
it: 58, loss: 24.151944402256817, stepsize: 2.626128657194451
it: 59, loss: 24.151944402256817, stepsize: 2.6037782196164776
it: 60, loss: 24.151944402256817, stepsize: 2.581988897471611
it: 61, loss: 23.690488179967083, stepsize: 2.5607375986579197
it: 62, loss: 23.216790917155713, stepsize: 2.54000254000381
it: 63, loss: 23.216790917155713, stepsize: 2.519763153394848
it: 64, loss: 23.216790917155713, stepsize: 2.5
it: 65, loss: 23.216790917155713, stepsize: 2.4806946917841692
it: 66, loss: 23.216790917155713, stepsize: 2.4618298195866544
it: 67, loss: 23.216790917155713, stepsize: 2.4433888871261042
it: 68, loss: 23.216790917155713, stepsize: 2.42535625036333
it: 69, loss: 23.216790917155713, stepsize: 2.407717061715384
it: 70, loss: 23.216790917155713, stepsize: 2.390457218668787
it: 71, loss: 20.428676555856455, stepsize: 2.3735633163877066
it: 72, loss: 18.255756340858625, stepsize: 2.3570226039551585
it: 73, loss: 18.255756340858625, stepsize: 2.3408229439226114
it: 74, loss: 18.255756340858625, stepsize: 2.324952774876386
it: 75, loss: 18.255756340858625, stepsize: 2.309401076758503
it: 76, loss: 18.255756340858625, stepsize: 2.2941573387056176
it: 77, loss: 18.255756340858625, stepsize: 2.279211529192759
it: 78, loss: 18.255756340858625, stepsize: 2.264554068289191
it: 79, loss: 18.255756340858625, stepsize: 2.250175801852048
it: 80, loss: 18.255756340858625, stepsize: 2.23606797749979
it: 81, loss: 18.255756340858625, stepsize: 2.2222222222222223
it: 82, loss: 18.255756340858625, stepsize: 2.208630521496931
it: 83, loss: 18.255756340858625, stepsize: 2.195285199793807
it: 84, loss: 18.068596224418016, stepsize: 2.182178902359924
it: 85, loss: 16.535522023203896, stepsize: 2.1693045781865616
it: 86, loss: 16.535522023203896, stepsize: 2.156655464068768
it: 87, loss: 16.25192344050533, stepsize: 2.1442250696755893
it: 88, loss: 16.25192344050533, stepsize: 2.1320071635561044
it: 89, loss: 16.25192344050533, stepsize: 2.11999576001272
it: 90, loss: 16.084202518168887, stepsize: 2.1081851067789197
it: 91, loss: 16.084202518168887, stepsize: 2.096569673443837
it: 92, loss: 16.084202518168887, stepsize: 2.0851441405707476
it: 93, loss: 16.084202518168887, stepsize: 2.0739033894608507
it: 94, loss: 16.084202518168887, stepsize: 2.0628424925175866
it: 95, loss: 16.02689227860997, stepsize: 2.0519567041703084
it: 96, loss: 15.23745085138767, stepsize: 2.041241452319315
it: 97, loss: 15.23745085138767, stepsize: 2.030692330267238
it: 98, loss: 14.877420691337685, stepsize: 2.0203050891044216
it: 99, loss: 14.865175721763755, stepsize: 2.010075630518424
it: 100, loss: 14.865175721763755, stepsize: 2.0
it: 101, loss: 14.865175721763755, stepsize: 1.9900743804199783
it: 102, loss: 14.865175721763755, stepsize: 1.9802950859533488
it: 103, loss: 14.865175721763755, stepsize: 1.9706585563285863
it: 104, loss: 14.865175721763755, stepsize: 1.9611613513818404
it: 105, loss: 14.865175721763755, stepsize: 1.9518001458970664
it: 106, loss: 14.865175721763755, stepsize: 1.9425717247145282
it: 107, loss: 14.865175721763755, stepsize: 1.9334729780913271
it: 108, loss: 14.865175721763755, stepsize: 1.9245008972987525
it: 109, loss: 14.865175721763755, stepsize: 1.9156525704423026
it: 110, loss: 14.865175721763755, stepsize: 1.9069251784911847
it: 111, loss: 14.865175721763755, stepsize: 1.898315991504998
it: 112, loss: 14.865175721763755, stepsize: 1.889822365046136
it: 113, loss: 14.865175721763755, stepsize: 1.8814417367671945
it: 114, loss: 14.865175721763755, stepsize: 1.873171623163388
it: 115, loss: 14.865175721763755, stepsize: 1.8650096164806276
it: 116, loss: 14.865175721763755, stepsize: 1.8569533817705188
it: 117, loss: 14.52957745508739, stepsize: 1.8490006540840969
it: 118, loss: 13.226984678117566, stepsize: 1.8411492357966468
it: 119, loss: 13.226984678117566, stepsize: 1.8333969940564228
it: 120, loss: 13.226984678117566, stepsize: 1.8257418583505538
it: 121, loss: 13.226984678117566, stepsize: 1.8181818181818181
it: 122, loss: 13.226984678117566, stepsize: 1.8107149208503706
it: 123, loss: 13.226984678117566, stepsize: 1.8033392693348644
it: 124, loss: 13.226984678117566, stepsize: 1.7960530202677492
it: 125, loss: 13.226984678117566, stepsize: 1.7888543819998317
it: 126, loss: 12.580352847315012, stepsize: 1.7817416127494958
it: 127, loss: 11.705172279667854, stepsize: 1.7747130188322278
it: 128, loss: 11.705172279667854, stepsize: 1.7677669529663687
it: 129, loss: 11.705172279667854, stepsize: 1.7609018126512477
it: 130, loss: 11.705172279667854, stepsize: 1.7541160386140586
it: 131, loss: 11.617059624140229, stepsize: 1.7474081133220758
it: 132, loss: 11.617059624140229, stepsize: 1.7407765595569784
it: 133, loss: 11.026621389782324, stepsize: 1.7342199390482398
it: 134, loss: 11.026621389782324, stepsize: 1.7277368511627202
it: 135, loss: 10.996548689545511, stepsize: 1.721325931647741
it: 136, loss: 10.948138101915408, stepsize: 1.7149858514250882
it: 137, loss: 10.948138101915408, stepsize: 1.7087153154335217
it: 138, loss: 10.948138101915408, stepsize: 1.7025130615174973
it: 139, loss: 10.948138101915408, stepsize: 1.696377859359942
it: 140, loss: 10.696412157726444, stepsize: 1.6903085094570331
it: 141, loss: 10.696412157726444, stepsize: 1.6843038421330379
it: 142, loss: 10.696412157726444, stepsize: 1.6783627165933783
it: 143, loss: 10.696412157726444, stepsize: 1.6724840200141815
it: 144, loss: 10.281107510231813, stepsize: 1.6666666666666667
it: 145, loss: 9.916631584958324, stepsize: 1.6609095970747993
it: 146, loss: 9.916631584958324, stepsize: 1.655211777204736
it: 147, loss: 9.916631584958324, stepsize: 1.6495721976846451
it: 148, loss: 9.916631584958324, stepsize: 1.643989873053573
it: 149, loss: 9.916631584958324, stepsize: 1.638463841038081
it: 150, loss: 9.916631584958324, stepsize: 1.632993161855452
it: 151, loss: 9.916631584958324, stepsize: 1.627576917542319
it: 152, loss: 9.916631584958324, stepsize: 1.6222142113076254
it: 153, loss: 9.916631584958324, stepsize: 1.6169041669088866
it: 154, loss: 9.916631584958324, stepsize: 1.6116459280507605
it: 155, loss: 9.916631584958324, stepsize: 1.6064386578049976
it: 156, loss: 9.629775608741626, stepsize: 1.6012815380508714
it: 157, loss: 9.629775608741626, stepsize: 1.5961737689352442
it: 158, loss: 8.962096370889222, stepsize: 1.59111456835146
it: 159, loss: 8.962096370889222, stepsize: 1.5861031714362883
it: 160, loss: 8.962096370889222, stepsize: 1.5811388300841895
it: 161, loss: 8.962096370889222, stepsize: 1.5762208124782013
it: 162, loss: 8.962096370889222, stepsize: 1.5713484026367723
it: 163, loss: 8.962096370889222, stepsize: 1.5665208999759148
it: 164, loss: 8.962096370889222, stepsize: 1.5617376188860608
it: 165, loss: 8.962096370889222, stepsize: 1.556997888323046
it: 166, loss: 8.962096370889222, stepsize: 1.5523010514126656
it: 167, loss: 8.962096370889222, stepsize: 1.5476464650682737
it: 168, loss: 8.962096370889222, stepsize: 1.543033499620919
it: 169, loss: 8.962096370889222, stepsize: 1.5384615384615385
it: 170, loss: 8.962096370889222, stepsize: 1.5339299776947408
