2019-05-19 18:19:51
sign_sgd_majority_two-point_log-reg_fix-step_20_20,0_1
it: 0, loss: 33714.65929296417, stepsize: 20.0
it: 1, loss: 19615.020713566915, stepsize: 20.0
it: 2, loss: 9958.926454840732, stepsize: 20.0
it: 3, loss: 3827.0154391268597, stepsize: 20.0
it: 4, loss: 1346.861135667315, stepsize: 20.0
it: 5, loss: 842.9681699512817, stepsize: 20.0
it: 6, loss: 842.9681699512817, stepsize: 18.0
it: 7, loss: 842.9681699512817, stepsize: 16.200000000000003
it: 8, loss: 818.2658302422589, stepsize: 16.200000000000003
it: 9, loss: 554.0112689175302, stepsize: 16.200000000000003
it: 10, loss: 554.0112689175302, stepsize: 14.580000000000002
it: 11, loss: 554.0112689175302, stepsize: 13.122
it: 12, loss: 479.53427946668455, stepsize: 13.122
it: 13, loss: 460.38292525981893, stepsize: 13.122
it: 14, loss: 460.38292525981893, stepsize: 11.809800000000001
it: 15, loss: 368.21127099273457, stepsize: 11.809800000000001
it: 16, loss: 368.21127099273457, stepsize: 10.628820000000001
it: 17, loss: 316.56141118023373, stepsize: 10.628820000000001
it: 18, loss: 316.56141118023373, stepsize: 9.565938000000001
it: 19, loss: 251.1336422788146, stepsize: 9.565938000000001
it: 20, loss: 251.1336422788146, stepsize: 8.609344200000002
it: 21, loss: 194.3322052278647, stepsize: 8.609344200000002
it: 22, loss: 194.3322052278647, stepsize: 7.748409780000002
it: 23, loss: 168.78837568310905, stepsize: 7.748409780000002
it: 24, loss: 168.78837568310905, stepsize: 6.973568802000002
it: 25, loss: 138.8129583831712, stepsize: 6.973568802000002
it: 26, loss: 138.8129583831712, stepsize: 6.276211921800002
it: 27, loss: 114.54757759794865, stepsize: 6.276211921800002
it: 28, loss: 114.54757759794865, stepsize: 5.648590729620002
it: 29, loss: 98.94465092676631, stepsize: 5.648590729620002
it: 30, loss: 98.94465092676631, stepsize: 5.083731656658001
it: 31, loss: 83.16372460264814, stepsize: 5.083731656658001
it: 32, loss: 70.49504429436152, stepsize: 5.083731656658001
it: 33, loss: 70.49504429436152, stepsize: 4.575358490992202
it: 34, loss: 60.67198195319502, stepsize: 4.575358490992202
it: 35, loss: 60.67198195319502, stepsize: 4.117822641892982
it: 36, loss: 51.26303621298485, stepsize: 4.117822641892982
it: 37, loss: 49.83015142621499, stepsize: 4.117822641892982
it: 38, loss: 49.83015142621499, stepsize: 3.706040377703683
it: 39, loss: 40.35041347702275, stepsize: 3.706040377703683
it: 40, loss: 40.35041347702275, stepsize: 3.3354363399333153
it: 41, loss: 32.456033794762334, stepsize: 3.3354363399333153
it: 42, loss: 32.456033794762334, stepsize: 3.0018927059399836
it: 43, loss: 30.231423948385313, stepsize: 3.0018927059399836
it: 44, loss: 28.34703021648169, stepsize: 3.0018927059399836
it: 45, loss: 28.34703021648169, stepsize: 2.7017034353459857
it: 46, loss: 23.37220360820047, stepsize: 2.7017034353459857
it: 47, loss: 23.37220360820047, stepsize: 2.431533091811387
it: 48, loss: 20.141990230747616, stepsize: 2.431533091811387
it: 49, loss: 19.184758308765534, stepsize: 2.431533091811387
it: 50, loss: 19.184758308765534, stepsize: 2.1883797826302485
it: 51, loss: 16.166869251982526, stepsize: 2.1883797826302485
it: 52, loss: 16.166869251982526, stepsize: 1.9695418043672235
it: 53, loss: 11.960618295021767, stepsize: 1.9695418043672235
it: 54, loss: 11.960618295021767, stepsize: 1.7725876239305014
it: 55, loss: 11.078072562557537, stepsize: 1.7725876239305014
it: 56, loss: 9.998258699724802, stepsize: 1.7725876239305014
it: 57, loss: 9.998258699724802, stepsize: 1.595328861537451
it: 58, loss: 9.998258699724802, stepsize: 1.435795975383706
it: 59, loss: 7.172370587952136, stepsize: 1.435795975383706
it: 60, loss: 6.357355926133103, stepsize: 1.435795975383706
it: 61, loss: 6.357355926133103, stepsize: 1.2922163778453355
it: 62, loss: 5.482995295314443, stepsize: 1.2922163778453355
it: 63, loss: 5.482995295314443, stepsize: 1.1629947400608018
it: 64, loss: 5.482995295314443, stepsize: 1.046695266054722
it: 65, loss: 4.777072800251558, stepsize: 1.046695266054722
it: 66, loss: 4.412223390618409, stepsize: 1.046695266054722
it: 67, loss: 4.412223390618409, stepsize: 0.9420257394492497
it: 68, loss: 3.6956458936306307, stepsize: 0.9420257394492497
it: 69, loss: 3.1678863161544353, stepsize: 0.9420257394492497
it: 70, loss: 3.1678863161544353, stepsize: 0.8478231655043247
it: 71, loss: 3.1678863161544353, stepsize: 0.7630408489538922
it: 72, loss: 2.5321402359699228, stepsize: 0.7630408489538922
it: 73, loss: 2.5321402359699228, stepsize: 0.686736764058503
it: 74, loss: 2.5321402359699228, stepsize: 0.6180630876526527
it: 75, loss: 2.5321402359699228, stepsize: 0.5562567788873874
it: 76, loss: 1.6789348394754178, stepsize: 0.5562567788873874
it: 77, loss: 1.4782763192999084, stepsize: 0.5562567788873874
it: 78, loss: 1.4782763192999084, stepsize: 0.5006311009986487
it: 79, loss: 1.4782763192999084, stepsize: 0.4505679908987839
it: 80, loss: 1.4782763192999084, stepsize: 0.4055111918089055
it: 81, loss: 1.1559340429619103, stepsize: 0.4055111918089055
it: 82, loss: 1.1559340429619103, stepsize: 0.364960072628015
it: 83, loss: 1.1559340429619103, stepsize: 0.3284640653652135
it: 84, loss: 1.1559340429619103, stepsize: 0.2956176588286922
it: 85, loss: 1.1559340429619103, stepsize: 0.26605589294582294
it: 86, loss: 1.1559340429619103, stepsize: 0.23945030365124065
it: 87, loss: 1.1491331384453363, stepsize: 0.23945030365124065
it: 88, loss: 1.1491331384453363, stepsize: 0.21550527328611657
it: 89, loss: 1.1491331384453363, stepsize: 0.19395474595750495
it: 90, loss: 1.1491331384453363, stepsize: 0.17455927136175445
it: 91, loss: 1.1491331384453363, stepsize: 0.157103344225579
it: 92, loss: 1.1491331384453363, stepsize: 0.1413930098030211
it: 93, loss: 1.1491331384453363, stepsize: 0.127253708822719
it: 94, loss: 1.1491331384453363, stepsize: 0.11452833794044709
it: 95, loss: 1.1491331384453363, stepsize: 0.10307550414640239
it: 96, loss: 1.1491331384453363, stepsize: 0.09276795373176216
it: 97, loss: 1.0539554855701494, stepsize: 0.09276795373176216
it: 98, loss: 1.0539554855701494, stepsize: 0.08349115835858595
it: 99, loss: 1.0539554855701494, stepsize: 0.07514204252272735
it: 100, loss: 1.0539554855701494, stepsize: 0.06762783827045461
it: 101, loss: 1.035479178331529, stepsize: 0.06762783827045461
it: 102, loss: 1.035479178331529, stepsize: 0.06086505444340916
it: 103, loss: 1.035479178331529, stepsize: 0.05477854899906824
it: 104, loss: 1.035479178331529, stepsize: 0.04930069409916142
it: 105, loss: 1.035479178331529, stepsize: 0.04437062468924528
it: 106, loss: 1.035479178331529, stepsize: 0.039933562220320754
it: 107, loss: 1.035479178331529, stepsize: 0.03594020599828868
it: 108, loss: 1.035479178331529, stepsize: 0.03234618539845981
it: 109, loss: 1.035479178331529, stepsize: 0.02911156685861383
it: 110, loss: 1.035479178331529, stepsize: 0.026200410172752445
it: 111, loss: 1.035479178331529, stepsize: 0.023580369155477204
it: 112, loss: 1.035479178331529, stepsize: 0.021222332239929483
it: 113, loss: 1.035479178331529, stepsize: 0.019100099015936536
it: 114, loss: 1.035479178331529, stepsize: 0.01719008911434288
it: 115, loss: 1.035479178331529, stepsize: 0.015471080202908594
it: 116, loss: 1.0352989301533648, stepsize: 0.015471080202908594
it: 117, loss: 1.0352989301533648, stepsize: 0.013923972182617735
it: 118, loss: 1.0352989301533648, stepsize: 0.012531574964355962
it: 119, loss: 1.0352989301533648, stepsize: 0.011278417467920368
it: 120, loss: 1.0262462022939727, stepsize: 0.011278417467920368
it: 121, loss: 1.0262462022939727, stepsize: 0.01015057572112833
it: 122, loss: 1.0262462022939727, stepsize: 0.009135518149015497
it: 123, loss: 1.0176210589696073, stepsize: 0.009135518149015497
it: 124, loss: 1.0176210589696073, stepsize: 0.008221966334113949
it: 125, loss: 1.0176210589696073, stepsize: 0.007399769700702553
it: 126, loss: 1.0176210589696073, stepsize: 0.006659792730632298
it: 127, loss: 1.0176210589696073, stepsize: 0.005993813457569068
it: 128, loss: 1.0176210589696073, stepsize: 0.005394432111812162
it: 129, loss: 1.0176210589696073, stepsize: 0.004854988900630946
it: 130, loss: 1.0176210589696073, stepsize: 0.004369490010567851
it: 131, loss: 1.0176210589696073, stepsize: 0.003932541009511067
it: 132, loss: 1.0176210589696073, stepsize: 0.0035392869085599595
it: 133, loss: 1.0176210589696073, stepsize: 0.0031853582177039635
it: 134, loss: 1.0176210589696073, stepsize: 0.0028668223959335674
it: 135, loss: 1.0176210589696073, stepsize: 0.0025801401563402106
it: 136, loss: 1.0176210589696073, stepsize: 0.0023221261407061896
it: 137, loss: 1.017206748728937, stepsize: 0.0023221261407061896
it: 138, loss: 1.017206748728937, stepsize: 0.0020899135266355708
it: 139, loss: 1.017206748728937, stepsize: 0.0018809221739720136
it: 140, loss: 1.017206748728937, stepsize: 0.0016928299565748125
it: 141, loss: 1.0171105261969282, stepsize: 0.0016928299565748125
it: 142, loss: 1.0171105261969282, stepsize: 0.0015235469609173314
it: 143, loss: 1.0161905897274028, stepsize: 0.0015235469609173314
it: 144, loss: 1.0161905897274028, stepsize: 0.0013711922648255981
it: 145, loss: 1.0161905897274028, stepsize: 0.0012340730383430384
it: 146, loss: 1.0161905897274028, stepsize: 0.0011106657345087345
it: 147, loss: 1.0161905897274028, stepsize: 0.0009995991610578612
it: 148, loss: 1.0161905897274028, stepsize: 0.0008996392449520749
it: 149, loss: 1.0161905897274028, stepsize: 0.0008096753204568675
it: 150, loss: 1.0161905897274028, stepsize: 0.0007287077884111807
it: 151, loss: 1.0161905897274028, stepsize: 0.0006558370095700628
it: 152, loss: 1.0161905897274028, stepsize: 0.0005902533086130566
it: 153, loss: 1.016107238244707, stepsize: 0.0005902533086130566
it: 154, loss: 1.016107238244707, stepsize: 0.0005312279777517509
it: 155, loss: 1.016107238244707, stepsize: 0.0004781051799765758
it: 156, loss: 1.016107238244707, stepsize: 0.0004302946619789182
it: 157, loss: 1.016107238244707, stepsize: 0.0003872651957810264
it: 158, loss: 1.0160889308952428, stepsize: 0.0003872651957810264
it: 159, loss: 1.0160889308952428, stepsize: 0.00034853867620292375
it: 160, loss: 1.0160889308952428, stepsize: 0.0003136848085826314
it: 161, loss: 1.0160889308952428, stepsize: 0.00028231632772436827
it: 162, loss: 1.0160889308952428, stepsize: 0.00025408469495193147
it: 163, loss: 1.0160889308952428, stepsize: 0.00022867622545673833
it: 164, loss: 1.0160889308952428, stepsize: 0.00020580860291106448
it: 165, loss: 1.0160889308952428, stepsize: 0.00018522774261995803
it: 166, loss: 1.0160889308952428, stepsize: 0.00016670496835796223
