2019-05-19 14:38:33
sign_sgd_majority_one-point_log-reg_var-step_3_10,0_1
it: 0, loss: inf, stepsize: 10.0
it: 1, loss: 132911.6980360291, stepsize: 10.0
it: 2, loss: 104542.7757567351, stepsize: 7.071067811865475
it: 3, loss: 84761.29693894275, stepsize: 5.773502691896258
it: 4, loss: 69708.26543099163, stepsize: 5.0
it: 5, loss: 57955.10084392819, stepsize: 4.47213595499958
it: 6, loss: 48383.46738543165, stepsize: 4.08248290463863
it: 7, loss: 40563.052755093784, stepsize: 3.779644730092272
it: 8, loss: 33960.85124706367, stepsize: 3.5355339059327373
it: 9, loss: 28494.339172613778, stepsize: 3.3333333333333335
it: 10, loss: 23798.614813976856, stepsize: 3.162277660168379
it: 11, loss: 19875.42963363564, stepsize: 3.015113445777636
it: 12, loss: 16485.102063877028, stepsize: 2.886751345948129
it: 13, loss: 13691.008929163785, stepsize: 2.773500981126146
it: 14, loss: 11255.899234132132, stepsize: 2.6726124191242437
it: 15, loss: 9240.5239583677, stepsize: 2.581988897471611
it: 16, loss: 7456.557830274014, stepsize: 2.5
it: 17, loss: 6026.040029085759, stepsize: 2.42535625036333
it: 18, loss: 4778.058041658922, stepsize: 2.3570226039551585
it: 19, loss: 3787.868544998807, stepsize: 2.2941573387056176
it: 20, loss: 2918.28385262304, stepsize: 2.23606797749979
it: 21, loss: 2278.979811031301, stepsize: 2.182178902359924
it: 22, loss: 1708.874705972456, stepsize: 2.1320071635561044
it: 23, loss: 1299.1818879958387, stepsize: 2.0851441405707476
it: 24, loss: 930.1330338797292, stepsize: 2.041241452319315
it: 25, loss: 669.7855673393923, stepsize: 2.0
it: 26, loss: 436.53889080318925, stepsize: 1.9611613513818404
it: 27, loss: 314.52806095598936, stepsize: 1.9245008972987525
it: 28, loss: 187.15996055158675, stepsize: 1.889822365046136
it: 29, loss: 150.86940921786643, stepsize: 1.8569533817705188
it: 30, loss: 81.56342975164051, stepsize: 1.8257418583505538
it: 31, loss: 89.2980729000632, stepsize: 1.7960530202677492
it: 32, loss: 63.73144473384646, stepsize: 1.7677669529663687
it: 33, loss: 80.42904043953341, stepsize: 1.7407765595569784
it: 34, loss: 57.17446119551196, stepsize: 1.7149858514250882
it: 35, loss: 77.70560416097234, stepsize: 1.6903085094570331
it: 36, loss: 58.1359045657266, stepsize: 1.6666666666666667
it: 37, loss: 81.14840823357241, stepsize: 1.643989873053573
it: 38, loss: 51.49557846357181, stepsize: 1.6222142113076254
it: 39, loss: 77.84336438459506, stepsize: 1.6012815380508714
it: 40, loss: 49.113298573765505, stepsize: 1.5811388300841895
it: 41, loss: 67.05145003180313, stepsize: 1.5617376188860608
it: 42, loss: 47.49082068651407, stepsize: 1.543033499620919
it: 43, loss: 71.9936273342623, stepsize: 1.5249857033260468
it: 44, loss: 51.77010420530259, stepsize: 1.507556722888818
it: 45, loss: 73.09012508952365, stepsize: 1.4907119849998598
it: 46, loss: 42.91883409521593, stepsize: 1.4744195615489712
it: 47, loss: 61.89456934403515, stepsize: 1.4586499149789456
it: 48, loss: 41.05863354055164, stepsize: 1.4433756729740645
it: 49, loss: 59.11624887284641, stepsize: 1.4285714285714286
it: 50, loss: 39.71859027299457, stepsize: 1.414213562373095
it: 51, loss: 62.728842649218905, stepsize: 1.4002800840280096
it: 52, loss: 39.15517307872729, stepsize: 1.386750490563073
it: 53, loss: 53.86702799044355, stepsize: 1.3736056394868903
it: 54, loss: 36.635097644822764, stepsize: 1.3608276348795434
it: 55, loss: 56.415984759882036, stepsize: 1.348399724926484
it: 56, loss: 43.805844167174044, stepsize: 1.3363062095621219
it: 57, loss: 50.566618203637994, stepsize: 1.3245323570650438
it: 58, loss: 34.215285882325084, stepsize: 1.3130643285972254
it: 59, loss: 52.726072266150425, stepsize: 1.3018891098082388
it: 60, loss: 34.37032996440995, stepsize: 1.2909944487358056
it: 61, loss: 54.26317730696369, stepsize: 1.2803687993289599
it: 62, loss: 35.48462577989492, stepsize: 1.270001270001905
it: 63, loss: 49.20875902480806, stepsize: 1.259881576697424
it: 64, loss: 38.87561503950148, stepsize: 1.25
it: 65, loss: 56.58265860229241, stepsize: 1.2403473458920846
it: 66, loss: 31.29385664003457, stepsize: 1.2309149097933272
it: 67, loss: 44.43724870575974, stepsize: 1.2216944435630521
it: 68, loss: 36.89967077891132, stepsize: 1.212678125181665
it: 69, loss: 58.07879173204246, stepsize: 1.203858530857692
it: 70, loss: 31.514178928542876, stepsize: 1.1952286093343936
it: 71, loss: 41.96713788273637, stepsize: 1.1867816581938533
it: 72, loss: 29.448518647240974, stepsize: 1.1785113019775793
it: 73, loss: 50.12045824093146, stepsize: 1.1704114719613057
it: 74, loss: 28.328028467848334, stepsize: 1.162476387438193
it: 75, loss: 39.13991246706198, stepsize: 1.1547005383792515
it: 76, loss: 34.38857971865954, stepsize: 1.1470786693528088
it: 77, loss: 37.8020071934136, stepsize: 1.1396057645963795
it: 78, loss: 27.08852314900421, stepsize: 1.1322770341445956
it: 79, loss: 38.25227415614523, stepsize: 1.125087900926024
it: 80, loss: 26.55137138624911, stepsize: 1.118033988749895
it: 81, loss: 37.101224495426564, stepsize: 1.1111111111111112
it: 82, loss: 26.168394940592933, stepsize: 1.1043152607484654
it: 83, loss: 44.99373943388086, stepsize: 1.0976425998969035
it: 84, loss: 27.64428121270284, stepsize: 1.091089451179962
it: 85, loss: 35.35401021579967, stepsize: 1.0846522890932808
it: 86, loss: 24.312824096396135, stepsize: 1.078327732034384
it: 87, loss: 34.50120513006987, stepsize: 1.0721125348377947
it: 88, loss: 25.034455468780937, stepsize: 1.0660035817780522
it: 89, loss: 33.72254324326179, stepsize: 1.05999788000636
it: 90, loss: 23.569110697751416, stepsize: 1.0540925533894598
it: 91, loss: 37.137045549225185, stepsize: 1.0482848367219184
it: 92, loss: 28.973436574584177, stepsize: 1.0425720702853738
it: 93, loss: 32.232384078777656, stepsize: 1.0369516947304254
it: 94, loss: 26.63350682078599, stepsize: 1.0314212462587933
it: 95, loss: 30.91911568348888, stepsize: 1.0259783520851542
it: 96, loss: 22.63304337275664, stepsize: 1.0206207261596576
it: 97, loss: 32.53239249990966, stepsize: 1.015346165133619
it: 98, loss: 21.889255439588716, stepsize: 1.0101525445522108
it: 99, loss: 30.622501793259993, stepsize: 1.005037815259212
it: 100, loss: 23.461956514696315, stepsize: 1.0
it: 101, loss: 30.124475435266806, stepsize: 0.9950371902099892
it: 102, loss: 21.267138761744818, stepsize: 0.9901475429766744
it: 103, loss: 29.099678396244496, stepsize: 0.9853292781642932
it: 104, loss: 26.620313327585546, stepsize: 0.9805806756909202
it: 105, loss: 28.869457958541997, stepsize: 0.9759000729485332
it: 106, loss: 28.652364100584116, stepsize: 0.9712858623572641
it: 107, loss: 32.64589139516153, stepsize: 0.9667364890456636
it: 108, loss: 21.1536472210399, stepsize: 0.9622504486493763
